Player,Year,School,arm_length_inches
Lawrence Cager,2020,Georgia,33.38
Marquez Callaway,2020,Tennessee,32.38
Quintez Cephus,2020,Wisconsin,32.12
Chase Claypool,2020,Notre Dame,32.5
Tyrie Cleveland,2020,Florida,32.88
Isaiah Coulter,2020,Rhode Island,31.75
Gabriel Davis,2020,UCF,32.25
Quartney Davis,2020,Texas A&M,31.38
Devin Duvernay,2020,Texas,30.62
Bryan Edwards,2020,South Carolina,32.25
Chris Finke,2020,Notre Dame,29.0
Aaron Fuller,2020,Washington,29.75
Antonio Gandy-Golden,2020,Liberty,31.75
Antonio Gibson,2020,Memphis,31.12
Stephen Guidry,2020,Mississippi State,32.75
KJ Hamler,2020,Penn State,30.75
Tee Higgins,2020,Clemson,34.12
John Hightower,2020,Boise State,31.5
K.J. Hill,2020,Ohio State,29.12
Isaiah Hodgins,2020,Oregon State,33.12
Henry Ruggs III,2020,Alabama,30.5
Trishton Jackson,2020,Syracuse,32.38
Justin Jefferson,2020,LSU,33.0
Van Jefferson,2020,Florida,32.75
Jauan Jennings,2020,Tennessee,31.62
Jerry Jeudy,2020,Alabama,32.12
Collin Johnson,2020,Texas,31.75
Juwan Johnson,2020,Oregon,34.25
Tyler Johnson,2020,Minnesota,30.88
Laviska Shenault Jr.,2020,Colorado,31.88
CeeDee Lamb,2020,Oklahoma,32.25
Kalija Lipscomb,2020,Vanderbilt,32.88
Austin Mack,2020,Ohio State,33.62
Denzel Mims,2020,Baylor,33.88
Darnell Mooney,2020,Tulane,30.88
K.J. Osborn,2020,Miami,31.25
Aaron Parker,2020,Rhode Island,31.12
Dezmon Patmon,2020,Washington State,32.75
Donovan Peoples-Jones,2020,Michigan,33.5
Malcolm Perry,2020,Navy,29.62
Michael Pittman,2020,USC,32.5
James Proche,2020,SMU,29.75
Jalen Reagor,2020,TCU,31.38
Joe Reed,2020,Virginia,31.12
Kendrick Rogers,2020,Texas A&M,
Darrell Stewart,2020,Michigan State,32.0
Freddie Swain,2020,Florida,30.62
Jeff Thomas,2020,Miami,30.38
Ben Victor,2020,Ohio State,34.12
Quez Watkins,2020,Southern Miss,32.88
Cody White,2020,Michigan State,32.5
Jonathan Adams,2021,Arkansas St.,
Tutu Atwell,2021,Louisville,29.25
Kawaan Baker,2021,South Alabama,32.38
Rashod Bateman,2021,Minnesota,33.0
Tarik Black,2021,Texas,33.75
Josh Blancato,2021,Georgia Tech,
Dyami Brown,2021,North Carolina,32.75
Amon-Ra St. Brown,2021,USC,30.38
Jalen Camp,2021,Georgia Tech,33.75
Ja'Marr Chase,2021,LSU,30.75
Ramaud Chiaokhiao-Bowman,2021,Northwestern,
Nico Collins,2021,Michigan,34.12
Damonte Coxie,2021,Memphis,33.25
Frank Darby,2021,Arizona St.,31.38
Jaelon Darden,2021,North Texas,30.62
DeVontres Dukes,2021,South Florida,
Brennan Eagles,2021,Texas,33.5
D'Wayne Eskridge,2021,West. Michigan,30.12
Simi Fehoko,2021,Stanford,31.62
Dez Fitzpatrick,2021,Louisville,32.75
Bailey Gaither,2021,San Jose St.,
Trevon Grimes,2021,Florida,31.38
Adrian Hardy,2021,Louisiana Tech,32.0
Jacob Harris,2021,Central Florida,33.75
Jaylen Harris,2021,Ohio St.,
Damon Hazelton,2021,Missouri,33.38
Josh Imatorbhebhe,2021,Illinois,32.38
Warren Jackson,2021,Colorado St.,33.5
