Player,Year,School,arm_length_inches
Patrick Queen,2020,LSU,31.62
Chapelle Russell,2020,Temple,32.38
Isaiah Simmons,2020,Clemson,33.38
Justin Strnad,2020,Wake Forest,31.75
Darrell Taylor,2020,Tennessee,33.0
Davion Taylor,2020,Colorado,32.12
Casey Toohill,2020,Stanford,33.5
Josh Uche,2020,Michigan,33.62
Mykal Walker,2020,Fresno State,32.5
Curtis Weaver,2020,Boise State,32.38
Evan Weaver,2020,California,31.62
Logan Wilson,2020,Wyoming,32.38
David Woodward,2020,Utah State,31.62
Zayne Anderson,2021,BYU,31.25
Tavante Beckett,2021,Marshall,32.75
Nick Bolton,2021,Missouri,31.88
Tuf Borland,2021,Ohio St.,31.38
William Bradley-King,2021,Baylor,33.5
K.J. Britt,2021,Auburn,31.0
Baron Browning,2021,Ohio St.,33.5
Calvin Bundage,2021,Oklahoma St.,32.25
Riley Cole,2021,South Alabama,
Zaven Collins,2021,Tulsa,33.62
Jabril Cox,2021,LSU,32.75
Tyler Coyle,2021,Purdue,33.0
David Curry,2021,Georgia Tech,30.25
Jamin Davis,2021,Kentucky,33.0
Milo Eifler,2021,Illinois,32.75
Dorian Etheridge,2021,Louisville,31.38
Tony Fields,2021,West Virginia,31.25
Paddy Fisher,2021,Northwestern,33.12
Blake Gallagher,2021,Northwestern,31.0
Justin Hilliard,2021,Ohio St.,31.38
Justin Hughes,2021,Kansas St.,32.12
Ernest Jones,2021,South Carolina,33.38
Joshua McMillon,2021,Alabama,33.12
Andre Mintze,2021,Vanderbilt,
Nick Niemann,2021,Iowa,32.62
Amen Ogbongbemiga,2021,Oklahoma St.,32.75
Azeez Ojulari,2021,Georgia,34.5
Joseph Ossai,2021,Texas,33.88
Jeremiah Owusu-Koramoah,2021,Notre Dame,33.0
Micah Parsons,2021,Penn St.,31.5
Hamilcar Rashed,2021,Oregon St.,33.75
Jon Rhattigan,2021,Army,
Monty Rice,2021,Georgia,30.75
Curtis Robinson,2021,Stanford,31.62
Antjuan Simmons,2021,Michigan St.,30.75
Trystan Slinker,2021,Baylor,
Shaq Smith,2021,Maryland,33.12
DAnte Smith,2021,Arizona,35.25
Jordan Smith,2021,Ala-Birmingham,33.62
Elijah Sullivan,2021,Kansas St.,32.0
Chazz Surratt,2021,North Carolina,30.25
Tyree Thompson,2021,Buffalo,31.0
Joe Tryon,2021,Washington,34.0
Ethan Tucky,2021,Cincinnati,31.88
Garret Wallow,2021,TCU,30.88
Jamar Watson,2021,Kentucky,32.38
Pete Werner,2021,Ohio St.,33.25
Jarell White,2021,Cincinnati,29.75
Troy Andersen,2022,Montana St.,32.12
Brian Asamoah,2022,Oklahoma,32.62
Darrian Beavers,2022,Cincinnati,32.38
Terrel Bernard,2022,Baylor,30.25
Darien Butler,2022,Arizona St.,30.12
Chance Campbell,2022,Mississippi,31.25
Leo Chenal,2022,Wisconsin,31.0
Damone Clark,2022,LSU,33.0
Nakobe Dean,2022,Georgia,31.88
JoJo Domann,2022,Nebraska,30.38
Jeremiah Gemmel,2022,North Carolina,31.25
Isaiah Graham-Mobley,2022,Boston Col.,32.0
Jake Hansen,2022,Illinois,32.38
Aaron Hansford,2022,Texas A&M,32.38
Christian Harris,2022,Alabama,32.12
D'Marco Jackson,2022,Appalachian St.,32.5
Nate Landman,2022,Colorado,30.5
Devin Lloyd,2022,Utah,33.0
Jesse Luketa,2022,Penn St.,32.62
Zakoby McClain,2022,Auburn,31.75
Micah McFadden,2022,Indiana,31.25
Jeremiah Moon,2022,Florida,35.0
Chad Muma,2022,Wyoming,31.62
Malcolm Rodriguez,2022,Oklahoma St.,30.12
Mike Rose,2022,Iowa St.,33.25
Josh Ross,2022,Michigan,30.5
Jack Sanborn,2022,Wisconsin,30.5
Nephi Sewell,2022,Utah,29.38
Brandon Smith,2022,Penn St.,34.25
Baylon Spector,2022,Clemson,31.5
Channing Tindall,2022,Georgia,32.88
Quay Walker,2022,Georgia,32.62
Yasir Abdullah,2023,Louisville,32.38
Jeremy Banks,2023,Tennessee,32.0
Micah Baskerville,2023,LSU,31.25
Jack Campbell,2023,Iowa,31.88
SirVocea Dennis,2023,Pittsburgh,32.88
Jalen Graham,2023,Purdue,33.0
Daiyan Henley,2023,Washington St.,33.0
Shaka Heyward,2023,Duke,34.0
Cam Jones,2023,Indiana,31.25
Ivan Pace Jr.,2023,Cincinnati,30.25
Ventrell Miller,2023,Florida,32.5
Isaiah Moore,2023,North Carolina St.,31.75
Anfernee Orji,2023,Vanderbilt,32.0
DeMarvion Overshown,2023,Texas,32.25
Owen Pappoe,2023,Auburn,31.75
Drew Sanders,2023,Arkansas,32.12
Noah Sewell,2023,Oregon,31.62
Trenton Simpson,2023,Clemson,32.38
Charlie Thomas,2023,Georgia Tech,31.5
Henry To'oTo'o,2023,Alabama,
Dorian Williams,2023,Tulane,33.75
Dee Winters,2023,TCU,31.62
Dallas Turner,2024,Alabama,34.38
Edgerrin Cooper,2024,Texas A&M,34.0
Junior Colson,2024,Michigan,32.5
Trevin Wallace,2024,Kentucky,32.62
Payton Wilson,2024,NC State,30.5
Marist Liufau,2024,Notre Dame,34.25
Jaylan Ford,2024,Texas,31.75
Tyrice Knight,2024,UTEP,32.5
Edefuan Ulofoshio,2024,Washington,32.88
Steele Chambers,2024,Ohio State,30.5
Jordan Magee,2024,Temple,32.0
JD Bertrand,2024,Notre Dame,30.62
Michael Barrett,2024,Michigan,32.12
Curtis Jacobs,2024,Penn State,31.5
Jalon Walker,2025,Georgia,32.0
Jihaad Campbell,2025,Alabama,32.12
Carson Schwesinger,2025,UCLA,31.62
Demetrius Knight Jr,2025,South Carolina,32.62
Nick Martin,2025,Oklahoma State,32.5
Jack Kiser,2025,Notre Dame,30.38
Danny Stutsman,2025,Oklahoma,32.12
Cody Simon,2025,Ohio State,31.25
Barrett Carter,2025,Clemson,32.12
Teddye Buchanan,2025,California,31.38
Shemar James,2025,Florida,31.5
Jeffrey Bassa,2025,Oregon,31.38
Collin Oliver,2025,Oklahoma State,30.75
Smael Mondon Jr,2025,Georgia,31.75
Francisco Mauigoa,2025,Miami,31.75
Chris Paul Jr,2025,Ole Miss,29.88
Jalen McLeod,2025,Auburn,32.0
Kobe King,2025,Penn State,31.25
Kain Medrano,2025,UCLA,32.0
Cody Lindenberg,2025,Minnesota,32.75
Carson Bruener,2025,Washington,31.75
Arvell Reese,2026,Ohio State,
Sonny Styles,2026,Ohio State,
CJ Allen,2026,Georgia,
Anthony Hill Jr,2026,Texas,
Deontae Lawson,2026,Alabama,
