Overall Rank,Pick Taken,Name,School,Pos,Pos Rank,Round Grade,Grade,Difference From Consensus,Difference From PFF
161,255,Kalen King,Penn State,CB,CB24,5th-6,5.49,-30,16
162,231,Jaheim Bell,FLORIDA ST,TE,TE9,5th-6,5.49,-7,-7
163,253,Cornelius Johnson,Michigan,WR,WR25,5th-6,5.48,23,-16
164,237,Matt Lee,Miami,C,C7,5th-6,5.47,57,146
165,129,Isaac Guerendo,Louisville,RB,RB10,5th-6,5.46,-39,25
166,146,Jarvis Brownlee Jr.,Louisville,CB,CB25,5th-6,5.44,-49,-32
167,142,Anthony Gould,Oregon State,WR,WR26,5th-6,5.44,33,3
168,149,Josh Newton,TCU,CB,CB26,5th-6,5.43,-33,21
169,248,C.J. Hanson,Holy Cross,OG,OG8,5th-6,5.43,111,111
170,UDFA,Beau Brade,Maryland,SAF,SAF14,5th-6,5.41,-17,23
171,UDFA,Josh Proctor,Ohio State,SAF,SAF15,5th-6,5.40,21,13
172,143,J.D. Bertrand,Notre Dame,LB,LB11,6th,5.38,25,3
173,UDFA,Isaiah Williams,Illinois,WR,WR27,6th,5.38,93,-29
174,156,Jamari Thrash,Louisville,WR,WR28,6th,5.36,-49,-62
175,194,Tanner McLachlan,ARIZONA,TE,TE10,6th,5.35,26,57
176,111,Evan Williams,Oregon,SAF,SAF16,6th,5.34,44,Not on PFF Board
177,UDFA,Ethan Driskell,MARSHALL,LT,OT21,6th,5.34,66,41
178,172,Trevor Keegan,Michigan,OG,OG9,6th,5.31,33,-52
179,138,Xavier Thomas,Clemson,EDGE,EDGE21,6th,5.30,29,-96
180,87,Marist Liufau,Notre Dame,LB,LB12,6th,5.30,-12,-42
181,216,Ryan Flournoy,SE Missouri State,WR,WR29,6th,5.30,18,Not on PFF Board
182,UDFA,Nelson Ceaser,Houston,EDGE,EDGE22,6th,5.24,-30,-17
183,UDFA,Gottlieb Ayedze,MARYLAND,RT,OT22,6th,5.22,100,Not on PFF Board
266,127,Will Shipley,Clemson,RB,RB16,6th,5.21,-143,-121
185,176,Qwan'tez Stiggers,Toronto (CFL),CB,CB27,6th,5.20,127,Not on PFF Board
186,118,Tyrice Knight,UTEP,LB,LB13,6th,5.19,-13,Not on PFF Board
187,UDFA,Christian Roland-Wallace,USC,CB,CB28,6th,5.17,153,Not on PFF Board
188,175,Jaylan Ford,Texas,LB,LB14,6th,5.15,-30,59
189,199,Khristian Boyd,UNI,IDL,IDL14,6th,5.14,-29,31
190,135,Jacob Cowing,Arizona,WR,WR30,6th,5.14,-51,-73
191,UDFA,Curtis Jacobs,Penn State,LB,LB15,6th,5.14,-26,16
319,83,Blake Corum,Michigan,RB,RB23,6th,5.13,-248,-267
193,254,K.T. Leveston,KANSAS ST,LT,OT23,6th,5.11,128,-12
