Rnd,Pick,Tm,Player,Pos,School
5,174,ARI,Denzel Burke,CB,Ohio St.
5,175,SEA,Robbie Ouzts,TE,Alabama
5,176,NYJ,Tyler Baron,DE,Miami (FL)
6,177,BUF,Dorian Strong,CB,Virginia Tech
6,178,BAL,Bilhal Kone,CB,Western Michigan
6,179,MIA,Ollie Gordon,RB,Oklahoma St.
6,180,LVR,JJ Pegues,DT,Mississippi
6,181,PHI,Kyle McCord,QB,Syracuse
6,182,NWE,Andres Borregales,K,Miami (FL)
6,183,TEN,Marcus Harris,DB,California
6,184,NOR,Devin Neal,RB,Kansas
6,185,PIT,Will Howard,QB,Ohio St.
6,186,BAL,Tyler Loop,K,Arizona
6,187,HOU,Jaylen Reed,SAF,Penn St.
6,188,TEN,Kalel Mullings,RB,Michigan
6,189,IND,Riley Leonard,QB,Notre Dame
6,190,IND,Tim Smith,DL,Alabama
6,191,PHI,Myles Hinton,OT,Michigan
6,192,SEA,Bryce Cabeldue,OT,Kansas
6,193,CIN,Tahj Brooks,RB,Texas Tech
6,194,JAX,Jalen McLeod,DE,Auburn
6,195,CHI,Luke Newman,G,Michigan St.
6,196,DET,Ahmed Hassanein,DE,Boise St.
6,197,HOU,Graham Mertz,QB,Florida
6,198,GNB,Warren Brinson,DL,Georgia
6,199,LAC,Branson Taylor,OL,Pittsburgh
6,200,JAX,Rayuan Lane,FS,Navy
6,201,MIN,Kobe King,LB,Penn St.
6,202,MIN,Gavin Bartholomew,TE,Pittsburgh
6,203,BAL,LaJohntay Wester,WR,Colorado
6,204,DAL,Ajani Cornelius,OL,Oregon
6,205,WAS,Kain Medrano,LB,UCLA
6,206,BUF,Chase Lundt,OL,Connecticut
6,207,PHI,Cameron Williams,OL,Texas
6,208,CAR,Jimmy Horn,WR,Colorado
6,209,PHI,Antwaun Powell-Ryland,DE,Virginia Tech
6,210,BAL,Aeneas Peebles,DT,Virginia Tech
6,211,ARI,Hayden Conner,OL,Texas
6,212,BAL,Robert Longerbeam,DB,Rutgers
6,213,LVR,Tommy Mellott,QB,Montana St.
6,214,LAC,R.J. Mickens,SAF,Clemson
6,215,LVR,Cam Miller,QB,North Dakota St.
6,216,DEN,Jeremy Crawshaw,P,Florida
7,217,DAL,Jay Toia,DT,UCLA
7,218,ATL,Jack Nelson,OT,Wisconsin
7,219,NYG,Thomas Fidone,TE,Nebraska
7,220,NWE,Marcus Bryant,OL,Missouri
7,221,JAX,Jonah Monheim,OL,USC
7,222,LVR,Cody Lindenberg,LB,Minnesota
7,223,SEA,Damien Martinez,RB,Miami (FL)
7,224,HOU,Kyonte Hamilton,DL,Rutgers
7,225,ARI,Kitan Crawford,SAF,Nevada
7,226,PIT,Carson Bruener,LB,Washington
7,227,SFO,Kurtis Rourke,QB,Indiana
7,228,KAN,Brashard Smith,RB,SMU
7,229,PIT,Donte Kent,CB,Central Michigan
