player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Tramel Logan,123287,ED,USF,13,7,1.6,2,0,327,76.5,76.6,34.5,75.2,71.2,47.5,15.2,5,3,212,213,7.5,16,21
Christopher Townsel,123295,S,USF,12,5,10.9,0,0,327,61.0,58.8,84.7,55.8,53.7,66.6,11.8,2,0,131,132,3.1,4,10
Gregory Clayton Jr.,123302,WR,LSU,1,0,,0,0,211,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Je'Vaun Dabon,123305,S,UTSA,5,0,5.0,0,0,331,57.7,59.5,78.5,,65.5,29.8,0.0,0,0,17,17,0.0,0,1
Jamal Ligon,123320,LB,UTSA,13,14,2.9,0,0,331,63.8,77.3,83.7,84.2,76.7,64.4,8.8,5,0,243,245,10.3,25,38
Avery Morris,123323,LB,UTSA,13,7,2.3,0,0,331,62.9,59.2,81.0,74.0,48.8,53.6,23.3,7,1,170,173,7.6,13,16
Asyrus Simon,123332,ED,UTSA,11,6,2.3,0,0,331,60.0,62.7,82.2,57.1,65.0,73.6,7.1,1,0,104,104,5.8,6,7
Donyai Taylor,123335,LB,UTSA,13,5,4.4,2,0,331,72.5,66.4,0.0,80.8,56.3,59.2,20.0,6,6,229,231,5.2,12,19
Kyle Wakefield,123337,LB,UTSA,3,0,,0,0,331,67.7,66.4,77.0,66.2,50.6,81.1,,0,0,6,6,0.0,0,0
Justin Beadles,123341,ED,HOUSTON,1,0,,0,0,182,,60.2,68.5,59.2,60.0,,,0,0,2,2,0.0,0,0
Alec Bryant,123343,ED,ILLINOIS,12,7,2.7,0,0,187,69.8,69.6,41.7,60.5,74.3,67.6,8.0,2,2,169,172,5.9,10,16
Keonta Jenkins,123352,S,VA TECH,13,8,1.8,0,0,337,57.6,63.2,15.9,71.8,72.1,54.0,13.5,5,2,214,218,8.9,19,24
Wilfried Pene,123360,DI,VA TECH,13,4,2.0,0,0,337,60.3,57.4,47.8,61.8,55.0,78.0,0.0,0,1,106,110,2.8,3,3
Dorian Strong,123366,CB,VA TECH,13,2,8.4,1,0,337,82.7,81.6,86.4,60.0,67.9,69.1,22.2,2,2,340,346,0.6,2,5
Robert Wooten,123368,DI,TEXAS TECH,2,0,,0,0,315,,62.9,70.9,55.2,65.5,,,0,0,3,4,0.0,0,0
Nick Andersen,123370,S,WAKE,12,5,7.5,0,0,339,74.3,70.1,0.0,58.3,71.6,74.8,14.3,3,3,152,153,2.0,3,13
Jahmal Banks,123373,WR,WAKE,1,0,,0,0,339,,60.2,73.9,,60.0,,,0,1,1,1,0.0,0,0
Caelen Carson,123377,CB,WAKE,11,3,6.5,0,0,339,71.7,73.7,47.2,52.9,83.4,68.2,0.0,0,2,292,295,1.4,4,15
Wyatt Crespi,123381,DI,WAKE,8,0,2.0,0,0,339,59.9,53.5,78.7,57.7,51.0,70.2,0.0,0,0,32,33,3.1,1,1
Jasheen Davis,123382,ED,WAKE,12,12,1.8,0,0,339,67.4,84.9,61.0,86.1,76.6,61.5,9.1,3,2,331,334,4.2,14,18
