player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Ja'Qurious Conley,122827,S,CHARLOTTE,11,0,0,136,58.3,0,0,5,2.2,0.0,0,3,0.0,0,225,5,0,0,,0,0,0,0.0,,0,,0,51,0,0
Tony Grimes,122837,CB,PURDUE,11,0,0,273,60.2,0,0,7,2.1,14.3,1,4,0.0,0,334,7,0,0,70.4,0,0,2,1.8,50.0,1,0.0,0,112,2,0
Devan Boykin,122855,S,INDIANA,16,2,0,190,71.3,2,7,54,13.9,1.9,1,1,12.0,2,410,57,11,0,64.4,1,2,20,11.5,0.0,0,17.5,2,183,21,5
Jayland Parker,122879,LB,MARSHALL,7,0,0,214,56.4,3,5,29,20.9,0.0,0,1,13.8,0,148,31,8,0,60.1,2,1,5,31.6,0.0,0,30.0,0,19,6,3
Josh Pierre-Louis,122880,S,MARSHALL,12,0,0,214,55.4,0,3,29,10.3,0.0,0,1,8.6,1,311,32,4,0,61.8,0,1,7,12.7,0.0,0,7.1,0,55,7,1
Jordan Botelho,122894,ED,NOTRE DAME,12,0,0,258,63.1,2,13,148,93.6,12.2,18,0,5.7,1,171,160,16,0,67.7,2,8,66,92.7,19.7,13,9.1,1,82,76,11
Aidan Keanaaina,122903,DI,CAL,13,2,0,130,58.5,0,9,254,99.6,2.8,7,0,2.6,2,272,271,11,1,65.5,0,4,87,100.0,4.6,4,4.6,2,93,93,6
Caleb Offord,122908,CB,KENNESAW,12,0,0,200,74.1,0,1,4,0.9,0.0,0,2,37.5,1,455,4,2,0,70.8,0,0,0,0.0,,0,,1,141,0,1
Noah Arinze,122917,ED,COAST CAR,13,0,0,141,68.4,9,13,224,100.0,8.9,20,4,6.3,3,236,236,25,0,60.5,0,4,36,100.0,11.1,4,8.3,1,40,40,5
Joshua Eaton,122924,CB,MICH STATE,12,0,0,223,60.0,0,0,1,0.4,0.0,0,2,0.0,0,244,1,0,0,,0,0,0,0.0,,0,,0,92,0,0
DJ Graham II,122926,CB,KANSAS,11,0,0,198,60.0,0,0,1,0.4,0.0,0,0,0.0,0,248,1,0,0,,0,0,0,0.0,,0,,0,62,0,0
Reggie Grimes II,122927,ED,MEMPHIS,10,0,0,218,53.7,0,2,53,100.0,1.9,1,0,1.9,0,56,56,2,0,54.2,0,0,9,100.0,0.0,0,0.0,0,9,9,0
