player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Jake Ripp,163387,LB,BOISE ST,13,0,0,120,68.4,6,6,51,28.1,13.7,7,1,11.8,0,196,55,12,0,70.9,1,2,16,35.3,25.0,4,9.4,0,51,18,3
Jayden Virgin-Morgan,163392,ED,BOISE ST,14,0,0,120,61.6,8,22,304,84.2,6.9,21,1,6.9,6,386,325,36,0,60.9,3,10,95,85.2,10.5,10,8.9,2,122,104,15
Jayden Davis,163397,S,FRESNO ST,12,0,0,169,78.9,2,2,10,6.9,10.0,1,0,30.0,1,145,10,5,0,79.3,1,1,3,7.0,33.3,1,33.3,0,43,3,2
Julius Gandy,163399,DI,FRESNO ST,13,0,0,169,58.5,0,2,104,100.0,3.8,4,0,2.9,2,109,109,4,0,61.7,0,1,29,100.0,10.3,3,5.2,1,32,32,2
Jacob Holmes,163401,DI,VIRGINIA,14,0,0,335,66.4,6,18,259,99.6,9.3,24,1,5.8,3,269,268,27,0,72.3,6,14,149,99.4,13.4,20,8.7,3,156,155,23
Jahzon Jacks,163403,ED,FRESNO ST,13,1,0,169,56.7,7,9,241,95.5,3.3,8,1,4.1,2,269,257,18,0,63.3,4,6,97,99.0,8.2,8,7.2,2,105,104,12
Sione Noa,163409,ED,FRESNO ST,5,0,0,169,68.0,0,3,42,97.8,14.3,6,0,8.3,2,45,44,5,0,75.6,0,3,16,100.0,37.5,6,15.6,1,17,17,4
Tim Thomas,163417,LB,FRESNO ST,4,0,0,169,53.3,1,1,5,13.6,0.0,0,1,20.0,0,44,6,2,0,,0,0,0,0.0,,0,,0,10,0,0
Ryan Wilson,163420,S,FRESNO ST,10,0,0,169,70.9,1,1,9,4.0,0.0,0,0,22.2,1,226,9,3,0,,0,0,0,0.0,,0,,0,79,0,0
Merhauti Xepera,163422,ED,FRESNO ST,13,3,1,169,56.5,0,9,171,95.8,4.1,7,1,3.2,1,191,183,10,0,56.0,0,3,50,94.9,10.0,5,3.0,0,59,56,3
JD Drew,163429,CB,TULSA,12,0,0,320,59.9,0,0,1,0.3,0.0,0,2,0.0,0,334,1,0,0,,0,0,0,0.0,,0,,0,120,0,0
Adam Tomczyk,163444,ED,W VIRGINIA,5,0,0,343,55.4,1,1,16,100.0,0.0,0,0,6.3,0,16,16,2,0,57.5,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Chams Diagne,163487,CB,GA STATE,9,0,1,175,52.4,1,1,12,6.9,0.0,0,4,8.3,0,173,12,2,0,72.7,1,0,2,4.1,0.0,0,25.0,0,49,2,1
James Smith,163520,DI,LA MONROE,12,1,0,209,61.6,1,8,128,100.0,7.0,9,2,4.3,1,135,135,10,0,66.1,1,2,24,100.0,16.7,4,10.4,1,31,31,4
Jahleel Culbreath,163527,LB,DOMINION,13,0,0,263,68.2,6,10,114,33.5,9.6,11,0,11.4,5,358,120,21,0,69.4,1,2,35,40.7,17.1,6,10.0,2,91,37,5
Jaylon White-McClain,163543,ED,CINCINNATI,13,0,0,138,55.5,0,5,130,99.3,5.4,7,1,1.9,0,137,136,5,0,61.1,0,2,14,100.0,14.3,2,7.1,0,15,15,2
Christopher Wallace Jr.,163553,S,S ALABAMA,12,0,0,288,58.0,0,0,1,0.7,0.0,0,1,0.0,0,302,2,0,0,,0,0,0,0.0,,0,,0,98,0,0
DJ Burgess,163557,ED,CHARLOTTE,1,0,0,136,63.6,3,1,32,100.0,9.4,3,0,6.3,0,33,33,4,0,62.4,2,0,11,100.0,9.1,1,9.1,0,12,12,2
Isaiah Hastings,163594,DI,SYRACUSE,12,0,0,304,58.5,0,1,62,100.0,4.8,3,0,0.8,0,64,64,1,0,57.8,0,0,18,100.0,5.6,1,0.0,0,19,19,0
Antonio Kite,163598,CB,OLE MISS,12,0,0,226,55.4,0,1,1,0.2,0.0,0,1,50.0,0,407,1,1,0,55.4,0,1,1,1.1,0.0,0,50.0,0,92,1,1
Earl Little Jr.,163601,S,FLORIDA ST,12,0,0,167,60.0,0,2,10,2.8,10.0,1,1,10.0,0,352,10,2,0,63.2,0,0,4,3.1,25.0,1,0.0,0,127,4,0
Jake Pope,163608,S,UNLV,14,0,1,325,68.0,1,5,24,6.0,4.2,1,3,20.8,2,436,26,8,0,71.9,0,1,4,3.9,0.0,0,37.5,1,129,5,2
Keionte Scott,163644,CB,MIAMI FL,13,0,0,220,70.4,6,9,87,18.2,8.0,7,0,14.4,5,477,87,20,0,61.9,2,3,32,18.4,9.4,3,14.1,2,174,32,7
Tyler Banks,163648,LB,OLE MISS,6,0,0,226,78.0,1,3,9,20.0,44.4,4,0,22.2,0,50,10,4,0,72.2,1,2,6,53.8,33.3,2,25.0,0,13,7,3
Nick Cull,163652,S,OLE MISS,8,0,0,226,76.9,0,1,5,3.1,0.0,0,1,10.0,0,196,6,1,0,66.7,0,0,2,5.4,0.0,0,0.0,0,56,3,0
Zxavian Harris,163658,DI,OLE MISS,15,2,1,226,62.3,3,18,328,99.2,7.0,23,1,4.1,3,357,354,24,0,62.0,0,4,77,100.0,9.1,7,5.2,2,86,86,6
Trip White,163670,LB,OKLA STATE,11,0,2,262,68.1,0,1,25,18.8,12.0,3,3,6.0,1,138,26,2,0,78.2,0,0,5,12.2,40.0,2,20.0,1,41,5,1
Jaron Willis,163671,LB,S CAROLINA,6,0,0,289,54.3,0,1,6,16.2,16.7,1,0,8.3,0,37,6,1,0,57.4,0,1,2,16.7,50.0,1,25.0,0,12,2,1
Audavion Collins,163676,CB,PENN STATE,13,0,0,266,55.8,0,0,1,0.7,0.0,0,3,0.0,0,274,2,0,0,,0,0,0,0.0,,0,,0,122,0,0
Kalvin Dinkins,163680,DI,MISS STATE,13,0,0,227,57.8,1,2,174,99.5,0.6,1,0,1.4,1,189,188,4,0,59.0,0,1,46,98.1,2.2,1,3.3,1,52,51,2
Javae Gilmore,163683,LB,MARSHALL,12,2,0,214,75.8,4,17,125,44.7,14.4,18,3,10.0,2,300,134,23,0,62.1,0,5,36,79.6,16.7,6,9.7,1,49,39,6
Wesley Miller,163688,S,S ALABAMA,11,0,0,288,59.2,0,0,1,0.4,0.0,0,0,0.0,0,258,1,0,0,,0,0,0,0.0,,0,,0,81,0,0
DonTerry Russell,163693,ED,TEXAS ST,13,0,1,314,76.7,0,11,104,69.3,13.5,14,3,12.0,7,163,113,18,0,77.4,0,6,35,90.5,22.9,8,20.0,4,42,38,10
Avery Sledge,163695,LB,SO MISS,10,0,1,296,55.2,1,1,15,30.4,6.7,1,2,6.7,0,56,17,2,0,61.1,0,0,6,26.9,0.0,0,0.0,0,26,7,0
Trevion Williams,163699,ED,MISS STATE,13,1,0,227,58.6,1,7,137,97.3,5.1,7,1,4.4,2,148,144,10,0,58.1,1,0,42,100.0,9.5,4,3.6,1,44,44,2
Nathan Jackson,163702,DI,TEXAS A&M,1,0,0,312,58.6,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Darren Agu,163703,ED,NEW MEXICO,11,0,0,241,72.8,4,20,203,95.9,14.3,29,0,6.9,2,222,213,26,0,78.3,2,6,64,97.1,25.0,16,9.4,2,70,68,10
Bryce Cowan,163707,LB,VANDERBILT,13,1,0,333,77.7,0,5,34,18.6,2.9,1,0,16.2,3,183,34,8,0,67.3,0,2,13,15.1,7.7,1,15.4,1,86,13,3
Mustafa Dannett,163708,CB,VANDERBILT,1,0,0,333,59.1,0,0,1,9.1,0.0,0,0,0.0,0,11,1,0,0,,0,0,0,0.0,,0,,0,6,0,0
Bradley Mann,163718,DI,VANDERBILT,13,0,1,333,55.7,2,4,78,97.7,2.6,2,2,3.8,0,87,85,6,0,59.0,2,3,27,100.0,7.4,2,9.3,0,29,29,5
Yilanan Ouattara,163722,DI,VANDERBILT,1,0,0,333,65.0,0,1,8,100.0,12.5,1,0,6.3,0,8,8,1,0,66.3,0,1,2,100.0,50.0,1,25.0,0,2,2,1
Jadais Richard,163724,CB,MIAMI FL,3,0,0,220,70.7,0,1,3,27.3,0.0,0,2,50.0,1,11,3,2,0,72.1,0,0,1,16.7,0.0,0,100.0,1,6,1,1
Savion Riley,163725,S,GA TECH,2,0,0,176,59.0,0,0,1,10.0,0.0,0,0,0.0,0,10,1,0,0,,0,0,0,0.0,,0,,0,2,0,0
Nick Rinaldi,163726,LB,VANDERBILT,13,0,0,333,76.0,7,11,88,36.5,12.5,11,0,15.9,5,260,95,23,0,83.3,4,6,48,53.7,16.7,8,20.8,5,95,51,15
Jeffrey Ugochukwu,163729,CB,COAST CAR,5,0,0,141,57.1,0,0,3,10.0,0.0,0,0,0.0,0,30,3,0,0,59.3,0,0,1,6.3,0.0,0,0.0,0,16,1,0
Linus Zunk,163732,ED,VANDERBILT,13,0,0,333,68.1,1,10,127,89.3,9.4,12,0,5.9,2,150,134,13,0,75.8,1,6,51,93.0,17.6,9,8.8,1,57,53,8
Marvin Jones Jr.,163745,ED,OKLAHOMA,13,1,0,261,57.7,4,8,202,78.9,4.0,8,3,4.5,3,275,217,15,0,57.8,2,5,64,77.8,6.3,4,8.6,2,90,70,9
E.J. Lightsey,163746,LB,GA TECH,13,0,0,176,48.8,1,7,49,13.5,6.1,3,0,8.2,0,379,51,8,0,43.0,0,5,23,19.2,4.3,1,10.9,0,130,25,5
Christen Miller,163747,DI,GEORGIA,14,0,0,173,70.0,2,17,230,100.0,11.3,26,2,4.1,0,244,244,19,0,71.7,2,10,68,100.0,17.6,12,8.8,0,71,71,12
Darris Smith,163752,ED,MISSOURI,13,0,0,229,61.4,1,25,180,83.8,7.8,14,3,9.4,4,228,191,30,0,60.3,0,9,82,92.9,12.2,10,6.7,1,98,91,10
Ben Bolton,163759,LB,TENNESSEE,11,0,1,307,76.7,2,1,13,15.9,23.1,3,1,11.5,0,82,13,3,0,84.2,1,1,5,25.0,60.0,3,20.0,0,20,5,2
Christian Harrison,163763,S,CINCINNATI,12,0,1,138,59.2,0,0,1,0.3,0.0,0,5,0.0,0,369,1,0,0,,0,0,0,0.0,,0,,0,57,0,0
Jayson Jenkins,163767,ED,FLORIDA ST,12,0,0,167,65.0,2,5,116,96.9,9.5,11,1,4.7,2,128,124,9,0,68.8,1,2,34,100.0,20.6,7,7.4,1,37,37,4
Joshua Josephs,163768,ED,TENNESSEE,11,2,0,307,90.6,4,23,169,84.7,21.3,36,1,10.9,5,216,183,32,0,91.3,2,12,66,90.1,34.8,23,16.7,4,81,73,18
Jordan Robinson,163791,CB,VIRGINIA,13,0,1,335,59.4,0,0,1,0.4,0.0,0,2,0.0,0,251,1,0,0,,0,0,0,0.0,,0,,0,121,0,0
Alex Afari Jr.,163793,LB,KENTUCKY,9,0,0,202,68.8,3,5,30,12.3,3.3,1,0,23.3,3,253,31,11,0,68.4,0,5,15,15.6,6.7,1,30.0,2,96,15,7
Keaten Wade,163794,ED,COLORADO,12,0,0,143,64.0,3,10,211,95.5,7.6,16,1,4.5,3,243,232,16,0,67.3,2,6,83,96.0,10.8,9,7.2,2,99,95,10
Noah Matthews,163797,ED,DELAWARE,13,0,0,151,71.6,7,24,254,98.6,12.2,31,1,7.3,3,279,275,34,0,79.3,3,9,48,100.0,22.9,11,14.6,1,53,53,13
Tyreese Fearbry,163800,ED,WISCONSIN,8,0,0,349,66.8,0,2,35,87.8,11.4,4,0,5.7,1,41,36,3,0,68.4,0,2,11,80.0,18.2,2,18.2,1,15,12,3
Jalen Dye,163806,S,KANSAS,6,0,0,198,82.0,0,0,3,6.7,0.0,0,0,33.3,1,45,3,1,0,83.6,0,0,2,11.8,0.0,0,50.0,1,17,2,1
Mason Ellis,163807,S,KANSAS,8,0,0,198,59.0,0,0,1,1.1,0.0,0,0,0.0,0,95,1,0,0,,0,0,0,0.0,,0,,0,26,0,0
Dean Miller,163813,ED,KANSAS,11,0,0,198,62.0,7,8,130,69.3,6.2,8,0,6.5,1,192,133,16,0,64.5,4,4,38,66.7,5.3,2,10.5,0,57,38,8
Nickendre Stiger,163823,S,DOMINION,13,0,1,263,57.7,0,0,1,0.4,0.0,0,4,0.0,0,241,1,0,0,57.7,0,0,1,2.6,0.0,0,0.0,0,38,1,0
Ethan Burke,163843,ED,TEXAS,12,1,0,311,75.6,3,20,212,92.2,12.7,27,0,6.8,3,243,224,26,0,76.3,1,13,67,93.4,20.9,14,13.4,2,76,71,16
Austin Jordan,163850,S,TCU,13,0,0,305,51.4,2,5,32,9.8,3.1,1,2,14.1,1,347,34,8,0,51.8,0,3,13,9.5,0.0,0,19.2,1,148,14,4
Zac Swanson,163862,DI,ARIZONA ST,2,0,0,110,54.9,0,0,16,100.0,0.0,0,0,0.0,0,17,17,0,0,57.9,0,0,2,100.0,0.0,0,0.0,0,3,3,0
J'Mond Tapp,163863,ED,SO MISS,13,1,1,296,91.1,18,34,330,97.7,20.3,67,4,10.9,10,354,346,62,0,90.7,8,18,98,96.4,34.7,34,16.3,3,112,108,29
Marc Pretto,163903,LB,N ILLINOIS,12,0,0,254,66.7,0,3,14,12.0,14.3,2,0,17.9,1,125,15,4,0,63.1,0,1,4,11.1,25.0,1,12.5,0,45,5,1
Jibreel Al-Amin,163936,LB,MARSHALL,12,0,0,214,67.5,2,9,70,27.1,8.6,6,1,13.6,4,288,78,15,0,65.9,1,3,21,43.1,4.8,1,19.0,2,51,22,6
Jumarion Larry,163959,ED,JVILLE ST,1,0,0,196,66.8,0,0,7,100.0,0.0,0,0,14.3,1,7,7,1,0,,0,0,0,,,0,,0,0,0,0
Jabari Mack,163962,CB,LOUISVILLE,13,0,0,210,60.0,0,0,1,0.2,0.0,0,3,0.0,0,486,1,0,0,,0,0,0,0.0,,0,,0,183,0,0
Ky'Won McCray,163967,LB,NEW MEXICO,11,1,0,241,63.2,1,4,28,16.8,3.6,1,2,12.5,1,173,29,6,0,77.2,1,0,10,26.2,10.0,1,15.0,1,42,11,2
Fred Perry,163971,S,W VIRGINIA,12,3,1,343,77.3,2,10,49,15.4,12.2,6,7,14.3,1,338,52,13,1,76.3,2,3,15,12.7,20.0,3,23.3,1,134,17,6
Darrell Prater,163972,DI,JVILLE ST,14,0,0,196,57.3,0,7,195,99.5,3.6,7,0,3.3,3,211,210,10,0,58.9,0,5,47,98.1,8.5,4,7.4,1,53,52,6
Larry Worth III,163980,S,ARKANSAS,12,1,0,111,70.0,0,2,10,3.6,0.0,0,2,20.0,1,306,11,3,0,56.5,0,0,2,2.5,0.0,0,0.0,0,119,3,0
Jakeem Fletcher,163993,DI,W KENTUCKY,11,0,0,346,51.4,0,3,108,100.0,0.9,1,0,1.4,0,114,114,3,0,54.8,0,2,32,100.0,3.1,1,3.1,0,35,35,2
Jaden Lyles,164028,S,W MICHIGAN,11,0,0,347,55.6,0,1,4,4.1,0.0,0,0,12.5,0,97,4,1,0,57.4,0,0,2,7.4,0.0,0,0.0,0,27,2,0
Sam Benjamin,164058,DI,S DIEGO ST,13,0,0,284,61.1,0,10,184,100.0,4.3,8,1,3.8,2,197,197,12,0,58.3,0,7,52,100.0,5.8,3,6.7,0,58,58,7
Brandon Lane,164104,DI,WISCONSIN,12,0,0,349,57.0,0,8,163,99.4,3.7,6,1,3.1,1,167,166,9,0,61.5,0,7,59,98.4,8.5,5,7.6,1,62,61,8
Austin Brawley,164120,S,NEW MEXICO,5,0,0,241,68.2,0,0,3,1.9,0.0,0,1,33.3,1,156,3,1,0,59.7,0,0,1,2.0,0.0,0,0.0,0,49,1,0
Michael Molnar,164125,LB,OHIO,8,0,0,259,73.0,4,7,36,15.9,8.3,3,0,23.6,3,226,36,14,0,69.5,1,4,15,19.7,13.3,2,16.7,0,76,15,5
Adonis Williams Jr.,164130,S,OHIO,13,0,0,259,65.3,3,1,17,4.2,17.6,3,1,17.6,1,427,18,5,0,59.7,0,0,1,0.7,0.0,0,0.0,0,137,1,0
Jonquis Hardaway,164132,CB,KENTUCKY,12,0,0,202,66.6,0,0,3,0.7,0.0,0,5,33.3,1,409,3,1,0,53.1,0,0,2,1.4,0.0,0,0.0,0,147,2,0
Oliver Bridges,164136,CB,BUFFALO,10,0,0,126,63.9,1,1,4,3.8,0.0,0,0,25.0,0,131,5,2,0,63.9,1,1,4,8.8,0.0,0,25.0,0,57,5,2
Kalen Carroll,164139,CB,C MICHIGAN,13,0,0,134,46.3,0,1,23,5.3,0.0,0,4,2.2,0,430,23,1,0,48.9,0,1,6,4.5,0.0,0,8.3,0,134,6,1
CJ Doggette Jr.,164141,DI,FAU,12,1,0,165,63.4,1,10,327,100.0,4.9,16,2,3.2,5,346,346,16,0,69.8,0,8,115,100.0,11.3,13,6.1,3,125,125,11
Tyler Gillison,164143,ED,MICH STATE,2,0,0,223,56.4,0,0,4,80.0,0.0,0,0,0.0,0,5,4,0,0,57.0,0,0,3,75.0,0.0,0,0.0,0,4,3,0
Cincear Lewis,164146,LB,CINCINNATI,4,0,0,138,55.8,0,0,4,30.8,0.0,0,0,0.0,0,13,4,0,0,,0,0,0,,,0,,0,0,0,0
Drew Logan,164147,ED,CINCINNATI,2,0,0,138,63.4,0,0,7,100.0,14.3,1,0,0.0,0,7,7,0,0,66.7,0,0,2,100.0,50.0,1,0.0,0,2,2,0
Derrick Shepard Jr.,164154,DI,TULANE,14,1,0,319,64.4,2,6,127,100.0,5.5,7,1,3.1,0,138,138,8,1,64.5,0,4,36,100.0,11.1,4,5.6,0,39,39,4
Jonathan Thompson,164156,LB,CINCINNATI,13,0,0,138,65.9,1,6,43,15.8,9.3,4,0,10.5,1,304,48,8,0,75.6,0,3,14,34.9,21.4,3,17.9,1,43,15,4
Dani Dennis-Sutton,164163,ED,PENN STATE,13,1,0,266,79.7,14,29,304,93.0,15.8,48,6,9.7,8,344,320,51,0,78.2,5,19,135,94.2,22.2,30,11.9,4,154,145,28
Zane Durant,164166,DI,PENN STATE,12,2,0,266,64.0,1,14,231,100.0,6.9,16,2,5.0,4,241,241,19,0,69.3,1,13,103,100.0,12.6,13,10.7,4,108,108,18
Mehki Flowers,164170,S,AKRON,10,0,0,102,64.4,0,0,8,5.3,12.5,1,0,0.0,0,151,8,0,0,68.4,0,0,3,5.5,33.3,1,0.0,0,55,3,0
Tyler Holzworth,164173,HB,PENN STATE,1,0,0,266,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Cam Miller,164178,CB,RUTGERS,12,0,1,278,56.2,0,1,12,3.4,8.3,1,3,12.5,1,357,12,2,0,52.0,0,1,5,4.0,0.0,0,10.0,0,124,5,1
Tyrece Mills,164179,S,UCONN,9,0,0,146,70.3,0,1,5,3.5,0.0,0,1,30.0,1,142,5,2,0,65.2,0,1,2,3.5,0.0,0,25.0,0,57,2,1
Sam Siafa,164187,DI,PENN STATE,2,0,0,266,63.1,0,1,7,100.0,14.3,1,0,7.1,0,7,7,1,0,64.3,0,1,4,100.0,25.0,1,12.5,0,4,4,1
Keon Wylie,164193,LB,PENN STATE,12,0,0,266,59.9,3,5,25,24.3,12.0,3,0,20.0,1,111,27,9,0,49.7,1,2,14,29.4,14.3,2,10.7,0,51,15,3
Corey Clark,164276,DI,MISS STATE,3,0,0,227,55.1,0,0,16,100.0,0.0,0,2,0.0,0,18,18,0,0,57.3,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Garrick Ponder,164307,ED,SO MISS,13,0,0,296,79.5,5,16,158,74.7,17.1,27,0,8.5,3,221,165,24,0,76.8,1,10,66,80.9,24.2,16,11.4,2,89,72,13
Aamarii Notice,164336,DI,COAST CAR,13,0,0,141,61.3,0,6,150,100.0,3.3,5,3,2.0,0,159,159,6,0,69.9,0,4,20,100.0,10.0,2,10.0,0,20,20,4
Murvin Kenion III,164351,S,NEVADA,12,0,1,239,79.9,0,1,14,4.0,35.7,5,3,17.9,2,402,16,3,0,68.2,0,1,5,5.2,40.0,2,30.0,1,116,6,2
Dwayne McDougle,164427,S,S DIEGO ST,13,0,1,284,60.0,0,0,1,0.3,0.0,0,4,0.0,0,400,1,0,0,60.0,0,0,1,0.6,0.0,0,0.0,0,162,1,0
Melkart Abou-Jaoude,164530,ED,N CAROLINA,12,0,0,245,79.4,7,23,317,91.1,13.9,44,3,8.5,12,371,338,42,0,82.8,3,13,116,95.5,21.6,25,12.9,7,134,128,23
Dominick Brogna,164532,DI,DELAWARE,13,0,0,151,63.4,3,8,179,100.0,7.3,13,2,3.1,0,187,187,11,0,73.8,1,3,28,100.0,17.9,5,7.1,0,29,29,4
Jayden Flaker,164760,LB,MEMPHIS,7,0,0,218,70.4,2,3,17,28.3,23.5,4,0,14.7,0,60,17,5,0,73.8,1,2,8,61.5,37.5,3,18.8,0,13,8,3
Jared Lloyd,164804,LB,MO STATE,13,1,0,230,73.5,1,3,14,5.4,7.1,1,1,21.4,1,257,14,5,0,65.2,1,1,3,3.8,0.0,0,33.3,0,78,3,2
Liam O'Reilly,164808,WR,MO STATE,1,0,0,230,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Gilles Tchio,164814,DI,MO STATE,1,0,0,230,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Gary Bryant III,164824,LB,SYRACUSE,12,0,0,304,60.8,0,8,39,18.5,12.8,5,1,12.8,1,238,44,9,0,65.4,0,5,13,18.1,23.1,3,26.9,1,83,15,6
Mi'Quise Humphrey-Grace,164831,ED,KENTUCKY,12,2,0,202,64.3,5,17,251,100.0,8.0,20,1,6.4,5,259,259,27,0,63.9,2,9,96,100.0,11.5,11,9.9,4,99,99,15
Nehemiah Dukes,164901,DI,OHIO,13,2,0,259,57.3,0,12,279,93.8,2.9,8,0,2.9,2,306,287,14,1,59.5,0,5,104,100.0,5.8,6,3.4,1,106,106,6
Tahjae Mullix,164950,DI,OREGON ST,4,0,0,265,58.5,0,3,52,98.1,5.8,3,0,2.9,0,54,53,3,0,56.4,0,2,21,100.0,4.8,1,4.8,0,21,21,2
Marje Mulumba,165095,LB,DELAWARE,12,0,0,151,60.0,1,10,62,28.8,9.7,6,1,10.5,1,226,65,12,0,65.4,0,4,20,71.4,15.0,3,10.0,0,28,20,4
Boogie Trotter,165156,CB,MARSHALL,12,0,0,214,69.4,3,1,8,2.5,0.0,0,1,37.5,1,398,10,5,0,75.4,1,1,3,4.8,0.0,0,66.7,1,63,3,3
Caldra Williford,165205,CB,BAYLOR,11,0,1,118,53.5,0,0,2,1.2,0.0,0,5,0.0,0,169,2,0,0,,0,0,0,0.0,,0,,0,49,0,0
TJ Magee,165223,CB,UMASS,3,0,0,216,65.0,0,0,3,3.0,33.3,1,0,0.0,0,99,3,0,0,,0,0,0,0.0,,0,,0,33,0,0
Chase Brown,165238,ED,AKRON,1,0,0,102,57.3,0,0,4,80.0,0.0,0,0,0.0,0,5,4,0,0,57.8,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Gideon Lampron,165250,LB,BOWL GREEN,12,0,0,122,81.8,7,9,62,18.3,30.6,19,0,17.7,3,393,72,19,0,69.7,3,4,21,21.8,33.3,7,26.2,2,119,26,9
Ashaad Hall,165457,ED,UTEP,11,0,0,330,55.5,3,15,210,97.8,3.8,8,1,6.2,4,225,220,22,0,58.4,1,6,59,100.0,3.4,2,11.0,3,61,61,10
Caleb Walker,165560,CB,UTEP,1,0,0,330,63.0,1,0,1,25.0,0.0,0,0,50.0,0,4,1,1,0,,0,0,0,,,0,,0,0,0,0
David Oke,165696,DI,ARKANSAS,3,0,0,111,53.7,0,0,27,100.0,0.0,0,1,0.0,0,30,30,0,0,55.9,0,0,7,100.0,0.0,0,0.0,0,8,8,0
Mackavelli Malotumau,165722,DI,W KENTUCKY,13,0,0,346,60.1,5,23,327,98.6,6.1,20,2,4.6,1,360,355,29,0,62.5,4,13,106,100.0,8.5,9,8.0,0,115,115,17
Jayden Madkins,165766,ED,LA TECH,13,1,0,208,49.7,1,6,284,100.0,2.8,8,0,1.2,0,305,305,7,1,54.7,0,3,74,100.0,4.1,3,2.0,0,79,79,3
Blaise Tita,165778,LB,RICE,7,0,1,275,48.1,0,2,13,18.2,0.0,0,1,7.7,0,77,14,2,0,48.4,0,1,3,33.3,0.0,0,16.7,0,12,4,1
Darion White,165781,LB,UTSA,9,0,0,331,47.1,0,2,3,11.8,0.0,0,0,33.3,0,34,4,2,0,59.6,0,0,0,25.0,,0,,0,4,1,0
Anisi Purcell,165819,DI,BYU,10,0,0,128,67.2,1,3,86,100.0,8.1,7,0,4.7,2,88,88,6,0,61.2,1,1,27,100.0,7.4,2,7.4,1,27,27,3
Jamichael Rogers,166103,ED,UAB,7,0,0,321,57.2,3,5,76,98.8,5.3,4,1,6.6,1,86,85,9,0,64.7,0,4,32,97.4,12.5,4,9.4,1,38,37,5
Marcell Blocker,166661,CB,UTEP,9,0,1,330,57.4,0,0,2,1.1,0.0,0,3,0.0,0,175,2,0,0,60.0,0,0,1,2.0,0.0,0,0.0,0,49,1,0
Malik Charles,167377,ED,OKLA STATE,11,0,0,262,64.2,3,5,138,98.6,11.6,16,0,5.1,3,146,144,11,0,69.5,1,4,57,100.0,19.3,11,9.6,3,59,59,8
Wydett Williams Jr.,167564,S,OLE MISS,15,0,0,226,58.4,1,0,3,0.6,0.0,0,2,16.7,0,462,3,1,0,,0,0,0,0.0,,0,,0,107,0,0
Demetrie Morgan,168355,ED,N TEXAS,5,0,0,251,61.6,1,1,16,94.4,12.5,2,0,6.3,0,18,17,2,0,68.5,0,1,5,100.0,40.0,2,10.0,0,6,6,1
Blake Cotton,168412,CB,UTAH,13,0,1,328,53.1,0,0,3,1.1,0.0,0,3,0.0,0,363,4,0,0,57.2,0,0,1,0.6,0.0,0,0.0,0,155,1,0
D'Yoni Hill,168425,CB,WISCONSIN,9,0,0,349,46.8,0,2,8,3.6,12.5,1,1,12.5,0,224,8,2,0,47.8,0,2,4,4.4,25.0,1,25.0,0,91,4,2
Malachi Bailey,168449,ED,ARIZONA,13,1,0,109,62.2,2,11,131,95.1,10.7,14,1,5.7,1,144,137,14,0,68.6,2,5,42,95.7,16.7,7,10.7,1,46,44,8
Jonathan Jean,168457,CB,E CAROLINA,13,0,0,156,70.7,2,5,26,10.7,7.7,2,1,21.2,2,271,29,9,0,65.1,1,0,7,11.0,14.3,1,21.4,1,73,8,2
Donte Thompson,168458,S,UTEP,11,0,2,330,54.1,3,2,28,11.6,7.1,2,5,8.9,0,276,32,5,0,50.8,3,1,12,17.1,8.3,1,16.7,0,82,14,4
Mory Bamba,168565,CB,BYU,14,0,0,128,57.2,0,0,2,0.8,0.0,0,3,0.0,0,244,2,0,0,60.0,0,0,1,1.3,0.0,0,0.0,0,75,1,0
Nikhil Webb Walker,169047,ED,COLORADO,2,0,0,143,59.3,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,,0,0,0,,,0,,0,0,0,0
William Alexander,169139,LB,TULSA,12,0,1,320,51.0,0,3,16,7.5,0.0,0,1,9.4,0,214,16,3,0,56.4,0,0,2,3.4,0.0,0,0.0,0,59,2,0
