Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent
2018,Tim Settle,DT,Virginia Tech,6-3,329.0,5.37,23.5,,96.0,7.95,4.83,True,5.0,163.0,0.89,33.0,19.1,9.0,358.0,7.0
2018,Nathan Shepherd,DT,Fort Hays State,6-5,315.0,5.09,31.0,,112.0,7.5,4.53,True,3.0,72.0,9.19,32.38,,,,
2018,Breeland Speaks,DT,Mississippi,6-3,283.0,4.87,32.5,,110.0,7.63,4.65,True,2.0,46.0,8.97,33.75,16.8,12.5,267.0,8.1
2018,Taylor Stallworth,DT,South Carolina,6-2,312.0,5.28,23.5,18.0,101.0,7.95,4.75,False,,,1.42,32.5,13.3,7.2,292.0,7.8
2018,Trenton Thompson,DT,Georgia,6-4,288.0,5.06,32.5,,111.0,7.68,4.56,False,,,8.24,34.0,4.9,5.8,195.0,10.8
2018,Vita Vea,DT,Washington,6-4,347.0,5.1,,41.0,,,,True,1.0,12.0,9.52,32.62,17.4,13.1,313.0,12.1
2018,Eddy Wilson,DT,Purdue,6-4,301.0,5.37,,26.0,96.0,,,False,,,2.68,33.88,9.6,7.6,290.0,4.3
2021,Dan Archibong,DT,Temple,6-5,295.0,5.35,28.5,28.0,100.0,8.16,4.68,False,,,3.67,,,,,
2021,Austin Faoliu,DT,Oregon,6-3,287.0,,,,,,,False,,,,32.75,10.3,7.9,133.0,6.2
2021,Phil Hoskins,DT,Kentucky,6-4,313.0,5.23,30.5,20.0,103.0,7.87,4.85,False,,,6.66,34.38,11.8,8.9,273.0,2.9
2021,Naquan Jones,DT,Michigan St.,6-3,313.0,5.42,25.0,20.0,100.0,,4.9,False,,,1.21,33.0,14.3,7.5,156.0,7.6
2021,Lorenzo Neal,DT,Purdue,,318.0,5.59,,27.0,,,,False,,,1.49,32.0,4.2,3.9,107.0,4.2
