Year,Player,Pos,School,Height,Weight,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,routes,targets,receptions
2015,DeVante Parker,WR,Louisville,75.0,209.0,4.45,36.5,125.0,17.0,,,True,1.0,14.0,,33.25,6.0,4.25,19.9,57.3,14.4,86.3,,4.4,8.1,15.0,10.2,89.8,0.0,97.6,201.0,75.0,43.0
2015,Breshad Perriman,WR,Central Florida,74.0,212.0,,,,,,,True,1.0,26.0,,32.0,13.0,2.52,20.9,51.5,17.7,107.9,,13.8,5.1,7.0,5.9,94.1,0.0,94.1,414.0,97.0,50.0
2015,Ezell Ruffin,WR,San Diego State,72.0,218.0,4.68,27.5,110.0,17.0,7.35,4.58,False,,,,31.12,7.0,2.37,16.2,57.8,14.8,85.6,,7.1,3.7,3.0,42.2,57.2,0.5,95.2,178.0,45.0,26.0
2015,Ross Scheuerman,WR,Lafayette,72.0,204.0,4.62,33.0,121.0,15.0,7.08,4.11,False,,,,30.0,,,,,,,,,,,,,,,,,
2015,DeAndre Smelter,WR,Georgia Tech,74.0,226.0,4.52,,,,,,True,4.0,132.0,,32.62,12.0,4.39,20.4,56.5,17.0,128.1,,5.4,6.8,5.0,5.5,88.5,0.0,89.6,163.0,62.0,35.0
2015,Devin Smith,WR,Ohio State,72.0,196.0,4.42,39.0,122.0,10.0,,4.15,True,2.0,37.0,,31.0,15.0,3.62,28.2,68.8,23.8,133.7,,5.7,7.0,2.0,22.3,76.9,0.4,97.3,257.0,48.0,33.0
2015,Jaelen Strong,WR,Arizona State,74.0,217.0,4.44,42.0,123.0,,,,True,3.0,70.0,,32.5,12.0,2.71,14.4,53.3,13.9,92.2,,8.0,5.2,7.0,25.3,74.7,0.0,94.7,431.0,152.0,81.0
2015,Darren Waller,WR,Georgia Tech,78.0,238.0,4.46,37.0,125.0,12.0,7.07,4.25,True,6.0,204.0,,33.25,12.0,2.65,17.0,57.8,19.6,112.2,,0.0,3.3,2.0,2.2,95.1,0.0,91.3,167.0,45.0,26.0
2015,DeAndrew White,WR,Alabama,71.0,193.0,4.44,34.5,118.0,,6.97,4.18,False,,,,31.0,11.0,1.58,12.6,63.5,10.0,102.9,,9.1,5.4,5.0,39.3,60.7,0.0,97.0,318.0,63.0,40.0
2015,Kevin White,WR,West Virginia,75.0,215.0,4.35,36.5,123.0,23.0,6.92,4.14,True,1.0,7.0,,32.62,13.0,2.59,13.3,68.1,11.1,104.3,,7.6,6.2,24.0,7.6,90.7,0.5,94.6,558.0,160.0,109.0
2015,Cam Worthy,WR,East Carolina,74.0,211.0,4.59,,,12.0,,,False,,,,33.5,11.0,2.07,18.5,59.8,16.9,103.4,,3.5,3.9,2.0,22.9,77.1,0.0,95.1,490.0,92.0,55.0
2016,Bralon Addison,WR,Oregon,69.0,197.0,4.66,34.5,116.0,13.0,6.95,4.14,False,,,,29.5,13.0,2.18,12.8,69.2,10.7,128.6,,6.0,5.4,13.0,67.0,31.2,0.5,95.6,368.0,91.0,63.0
2016,Geronimo Allison,WR,Illinois,75.0,196.0,4.67,33.0,127.0,,7.4,4.28,False,,,,32.88,12.0,1.77,13.5,51.2,11.6,71.6,,15.6,4.9,6.0,12.2,87.8,0.0,95.9,496.0,127.0,65.0
2016,Demarcus Ayers,WR,Houston,69.0,182.0,4.72,33.0,123.0,,,,True,7.0,229.0,,31.25,14.0,2.8,12.5,74.4,7.9,108.6,,2.0,7.5,19.0,96.5,2.2,0.2,96.5,444.0,133.0,99.0
2016,Tyler Boyd,WR,Pittsburgh,73.0,197.0,4.58,34.0,119.0,11.0,6.9,4.35,True,2.0,55.0,,32.0,12.0,2.72,10.0,71.8,9.1,91.1,,5.1,4.4,6.0,45.4,51.2,0.3,95.8,346.0,131.0,94.0
2016,Chris Brown,WR,Notre Dame,74.0,194.0,4.48,,,,,,False,,,,,13.0,2.07,12.4,60.0,11.7,89.4,,7.7,4.8,4.0,18.3,81.7,0.0,96.0,288.0,80.0,48.0
2016,Aaron Burbridge,WR,Michigan State,72.0,206.0,4.56,30.5,115.0,20.0,7.22,4.31,True,6.0,213.0,,31.62,14.0,2.85,14.8,58.2,12.2,96.8,,10.5,3.5,7.0,18.5,81.1,0.2,94.6,441.0,146.0,85.0
