rank,Player,School,Pos,Year,predicted_round,Height,Weight,arm_length_inches,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,RAS,speed_score,explosive_score,agility_score,p4_conference,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,interceptions,pass_break_ups,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate,arm_33_plus,arm_34_plus,is_center,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,yards_after_contact,yco_attempt,elusive_rating,mtf_per_attempt,breakaway_percent,explosive_rate,targets_per_route,fumble_rate
21,Michael Taaffe,Texas,S,2026,3.1208,71.0,190.0,,4.5,,,,,,,92.66880048773052,0.0,,1.0,0.3,0.0,339.0,98.3,18.1,0.0058997050147492,0.0,59.7,66.7,4.0,14.3,7.8,255.0,0.0,2.0,0.0,66.7,50.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,
22,Chris Johnson,San Diego State,CB,2026,3.1301,72.0,193.0,,4.4,,126.0,,,,,102.98562256676453,0.3550601765726541,,0.0,0.6,18.6,349.0,97.5,7.7,0.0114613180515759,0.0143266475644699,16.1,41.9,2.2,12.0,7.2,276.0,0.0,4.0,5.0,0.0,11.1,9.0,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,,,,,,,,,,,,,,,
23,Peter Woods,Clemson,DT,2026,3.1377,74.5,298.0,31.25,4.86,,,,,,,106.83195665701842,0.0,,1.0,,,,,,,,,,10.1,,,,,,,16.0,8.1,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Dallen Bentley,Utah,TE,2026,3.2151,76.0,253.0,33.12,4.62,35.0,118.0,,,4.42,,111.06637936826918,0.5534131533000207,,1.0,,,,,,,,,,,,,,,,,,,,,,,419.0,61.7,,,,,,,,,,,,,,,13.0,2.07,12.9,63.2,10.8,109.5,26.7,0.0,5.4,10.0,30.4,11.9,55.5,82.9,,,,,,,,
25,Mansoor Delane,Virginia Tech,CB,2026,3.2198,72.0,187.0,,4.44,,,,,,,96.23647825399611,0.0,,1.0,0.5,31.4,357.0,98.3,9.7,0.0056022408963585,0.0196078431372549,31.3,40.0,0.8,7.7,5.1,260.0,0.0,2.0,7.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,,,,,,,,,,,,
26,Zachariah Branch,Georgia,WR,2026,3.2354,68.625,177.0,29.38,4.35,38.0,125.0,20.0,,,,98.86583398384228,0.8353647703930333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.57,10.0,87.1,3.6,124.5,62.5,2.4,7.8,20.0,79.2,19.0,1.2,92.4,,,,,,,,
27,Will Heldt,Clemson,ED,2026,3.2444,78.0,265.0,,,,,,,,,,0.0,,1.0,,,,,,,,,,7.4,,,,,,,21.6,15.5,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Skyler Bell,UConn,WR,2026,3.2575,71.625,192.0,31.88,4.4,41.0,133.0,,,,,102.45201830476057,1.7663026284471168,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.13,12.6,72.3,8.3,128.0,65.0,3.8,8.2,15.0,36.4,61.1,0.0,94.2,,,,,,,,
29,Jeff Caldwell,Cincinnati,WR,2026,3.3852,77.0,216.0,32.62,4.31,42.0,134.0,,,,,125.19144901979112,2.076615247798478,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.16,14.9,55.2,15.0,116.9,38.5,8.6,3.7,11.0,8.2,91.8,0.0,95.3,,,,,,,,
30,Riley Nowakowski,Indiana,TE,2026,3.4334,74.0,250.0,31.5,4.66,33.0,120.0,,,,,106.02940823998897,-0.11316988078719589,,1.0,,,,,,,,,,,,,,,,,,,,,,,466.0,69.7,,,,,,,,,,,,,,,16.0,1.68,12.1,88.9,5.3,130.0,57.1,0.0,7.7,10.0,21.6,9.5,67.2,57.2,,,,,,,,
