Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate
2016,Kyler Fackrell,OLB,Utah State,6-5,245.0,4.72,34.5,15.0,121.0,,,True,3.0,88.0,,33.25,30.5,23.0,201.0,5.7,13.8,2.5,501.0,1.0,0.6,0.0,184.0,47.8,0.0,0.0,13.5,0.0,0.0
2016,Travis Feeney,OLB,Washington,6-4,230.0,4.5,40.0,,130.0,7.2,4.42,True,6.0,220.0,,33.38,10.3,9.9,200.0,9.9,4.8,4.1,244.0,0.0,0.5,11.1,108.0,35.1,0.0,1.0,11.6,0.0,0.009259259259259259
2016,Leonard Floyd,OLB,Georgia,6-6,244.0,4.6,39.5,,127.0,,,True,1.0,9.0,,33.12,28.8,26.8,183.0,8.5,11.1,3.3,360.0,0.0,0.7,5.6,155.0,45.9,0.0,1.0,8.4,0.0,0.0064516129032258064
2016,Josh Forrest,ILB,Kentucky,6-3,249.0,4.91,30.5,11.0,118.0,,,True,6.0,190.0,,33.5,25.6,19.8,85.0,4.8,14.1,4.6,428.0,0.0,0.5,21.4,315.0,78.8,2.0,5.0,10.9,0.006349206349206349,0.015873015873015872
2016,Kris Frost,OLB,Auburn,6-2,240.0,4.97,29.0,,113.0,,,False,,,,32.5,11.1,4.5,23.0,6.3,2.9,4.5,387.0,0.0,0.6,7.4,350.0,93.8,2.0,2.0,12.5,0.005714285714285714,0.005714285714285714
2016,B.J. Goodson,OLB,Clemson,6-1,242.0,4.69,34.5,30.0,118.0,7.05,4.51,True,4.0,109.0,,33.25,6.7,6.6,112.0,11.9,3.2,3.6,411.0,0.0,0.7,3.0,395.0,77.9,2.0,1.0,11.5,0.005063291139240506,0.002531645569620253
2016,Scooby Wright III,ILB,Arizona,6-0,239.0,4.9,31.0,22.0,113.0,,4.47,True,7.0,250.0,,30.5,20.0,19.2,26.0,11.9,8.0,3.1,104.0,1.0,0.5,0.0,40.0,60.6,0.0,0.0,18.5,0.0,0.0
2016,Myles Jack,OLB,UCLA,6-1,245.0,4.56,,19.0,,,,True,2.0,36.0,,33.62,0.0,0.0,7.0,3.3,0.0,11.6,93.0,0.0,0.4,16.7,100.0,93.5,1.0,1.0,7.8,0.01,0.01
2016,Jordan Jenkins,OLB,Georgia,6-3,259.0,4.8,36.5,16.0,121.0,,,True,3.0,83.0,,34.25,22.5,14.0,220.0,9.2,11.8,2.2,289.0,1.0,0.9,0.0,26.0,10.6,0.0,0.0,12.5,0.0,0.0
2016,C.J. Johnson,ILB,Mississippi,6-1,234.0,4.81,,,,,4.52,False,,,,32.75,23.7,15.1,89.0,12.2,8.6,3.1,174.0,1.0,0.2,0.0,125.0,58.4,2.0,0.0,10.8,0.016,0.0
2016,Deion Jones,OLB,LSU,6-1,222.0,4.59,33.0,,120.0,,,True,2.0,52.0,,32.38,20.8,12.3,63.0,8.6,18.8,4.5,283.0,0.0,1.0,3.5,397.0,86.3,2.0,2.0,6.6,0.005037783375314861,0.005037783375314861
2016,Raphael Kirby,ILB,Miami (FL),6-0,236.0,4.72,,27.0,,,,False,,,,31.0,0.0,6.3,19.0,4.1,4.2,7.3,148.0,0.0,0.9,0.0,193.0,91.0,0.0,0.0,8.0,0.0,0.0
2016,Nick Kwiatkoski,ILB,West Virginia,6-2,243.0,4.73,32.0,19.0,120.0,7.16,4.22,True,4.0,113.0,,31.75,7.3,8.1,143.0,8.8,12.5,3.1,386.0,1.0,0.7,11.1,317.0,68.9,3.0,4.0,8.4,0.00946372239747634,0.012618296529968454
2016,Darron Lee,OLB,Ohio State,6-1,232.0,4.47,35.5,17.0,133.0,7.12,4.2,True,1.0,20.0,,33.25,15.4,12.9,107.0,3.9,8.7,3.6,386.0,0.0,1.0,4.3,361.0,77.1,1.0,2.0,7.3,0.002770083102493075,0.00554016620498615
2016,Cory Littleton,OLB,Washington,6-3,238.0,4.73,29.5,,114.0,7.11,4.32,False,,,,33.38,19.2,13.1,264.0,6.4,9.8,3.0,304.0,0.0,0.6,0.0,106.0,28.6,0.0,0.0,7.8,0.0,0.0
2016,Steve Longa,ILB,Rutgers,6-1,241.0,4.78,32.0,19.0,116.0,7.5,4.56,False,,,,32.0,15.0,7.3,45.0,9.7,7.9,3.7,337.0,2.0,1.4,2.0,343.0,88.4,0.0,1.0,6.8,0.0,0.0029154518950437317
2016,Curt Maggitt,OLB,Tennessee,6-3,247.0,4.73,,,,,,False,,,,33.0,12.5,14.6,43.0,10.3,33.3,-2.0,29.0,0.0,3.7,0.0,3.0,6.5,0.0,0.0,3.0,0.0,0.0
2016,Blake Martinez,ILB,Stanford,6-2,237.0,4.71,28.5,22.0,113.0,6.98,4.2,True,4.0,131.0,,31.62,8.6,6.9,61.0,11.0,9.1,4.7,374.0,0.0,0.6,19.0,447.0,88.0,1.0,5.0,10.0,0.0022371364653243847,0.011185682326621925
2016,Tyler Matakevich,OLB,Temple,6-0,238.0,4.81,31.0,22.0,112.0,7.19,4.5,True,7.0,246.0,,31.25,13.0,8.5,63.0,12.6,17.0,2.9,362.0,0.0,1.1,10.3,476.0,88.1,5.0,3.0,7.8,0.01050420168067227,0.0063025210084033615
2016,Cassanova McKinzy,ILB,Auburn,6-1,248.0,4.83,,21.0,,,,False,,,,31.25,18.3,14.9,229.0,8.0,8.8,2.8,357.0,1.0,0.5,10.0,150.0,39.6,0.0,0.0,14.8,0.0,0.0
2016,Antonio Morrison,ILB,Florida,6-1,232.0,4.76,,,,,,True,4.0,125.0,,,0.0,8.7,46.0,7.4,18.5,3.3,372.0,0.0,0.9,3.4,331.0,87.8,0.0,1.0,10.9,0.0,0.0030211480362537764
2016,Jared Norris,ILB,Utah,6-1,241.0,4.8,29.5,19.0,114.0,,4.52,False,,,,31.5,4.8,6.6,127.0,7.4,12.9,4.3,307.0,1.0,0.8,14.0,386.0,75.2,0.0,6.0,8.7,0.0,0.015544041450777202
2016,Montese Overton,OLB,East Carolina,6-2,223.0,4.61,34.0,18.0,123.0,7.15,4.47,False,,,,32.75,,,,,,,,,,,,,,,,,
2016,Gionni Paul,ILB,Utah,5-10,231.0,5.05,31.0,22.0,113.0,,,False,,,,31.0,11.4,6.2,86.0,8.3,10.8,2.9,346.0,2.0,0.6,6.5,489.0,85.0,4.0,2.0,15.2,0.0081799591002045,0.00408997955010225
2016,Joshua Perry,ILB,Ohio State,6-4,254.0,4.68,33.5,20.0,124.0,,,True,4.0,102.0,,33.88,17.9,8.8,70.0,7.7,3.0,4.4,356.0,0.0,0.5,12.8,369.0,84.1,0.0,4.0,9.1,0.0,0.01084010840108401
2016,Reggie Ragland,ILB,Alabama,6-1,247.0,4.72,31.5,,116.0,,4.28,True,2.0,41.0,,32.0,12.7,11.7,108.0,9.8,12.9,3.1,331.0,1.0,0.7,8.7,366.0,77.2,0.0,4.0,7.6,0.0,0.01092896174863388
2016,Joe Schobert,OLB,Wisconsin,6-1,244.0,4.76,33.5,22.0,111.0,7.11,4.3,True,4.0,99.0,,31.5,29.3,20.3,190.0,7.7,17.0,2.5,296.0,2.0,0.3,15.4,182.0,48.9,1.0,2.0,13.3,0.005494505494505495,0.01098901098901099
2016,Jaylon Smith,OLB,Notre Dame,6-2,223.0,4.67,,,,,,True,2.0,34.0,,33.0,31.6,18.6,46.0,9.5,7.0,4.8,384.0,2.0,0.6,10.0,353.0,88.5,0.0,4.0,8.3,0.0,0.0113314447592068
2016,Terrance Smith,ILB,Florida State,6-3,235.0,4.77,34.5,19.0,120.0,,,False,,,,32.75,16.7,9.3,44.0,8.4,23.8,2.4,241.0,1.0,0.8,3.4,259.0,85.5,0.0,0.0,8.8,0.0,0.0
2016,Eric Striker,OLB,Oklahoma,5-11,227.0,4.8,30.0,23.0,116.0,7.3,4.46,False,,,,31.25,20.3,17.0,292.0,6.9,17.6,1.9,427.0,0.0,0.0,28.6,182.0,38.4,1.0,2.0,25.1,0.005494505494505495,0.01098901098901099
2016,Nick Vigil,ILB,Utah State,6-2,239.0,4.72,31.5,,115.0,6.73,4.0,True,3.0,87.0,,32.38,15.8,12.3,80.0,12.1,11.6,3.5,506.0,1.0,0.5,11.8,308.0,79.4,0.0,1.0,17.4,0.0,0.003246753246753247
2016,Stephen Weatherly,OLB,Vanderbilt,6-4,267.0,4.61,31.0,23.0,117.0,,,True,7.0,227.0,,34.5,15.8,10.1,281.0,6.1,7.5,1.5,349.0,2.0,0.2,16.7,123.0,30.4,0.0,1.0,19.3,0.0,0.008130081300813009
2017,Ryan Anderson,OLB,Alabama,6-2,253.0,4.78,,,,,,True,2.0,49.0,2.01,31.5,19.6,12.7,361.0,8.3,5.3,1.5,243.0,1.0,0.8,7.1,66.0,15.5,1.0,1.0,4.6,0.015151515151515152,0.015151515151515152
2017,Alex Anzalone,OLB,Florida,6-3,241.0,4.63,30.5,16.0,116.0,6.88,4.25,True,3.0,76.0,8.03,32.12,15.4,16.7,46.0,7.0,17.1,2.5,203.0,0.0,1.0,11.8,175.0,79.2,0.0,1.0,9.7,0.0,0.005714285714285714
2017,Kendell Beckwith,ILB,LSU,6-2,243.0,,,20.0,,,,True,3.0,107.0,,33.0,40.0,20.0,10.0,11.7,14.9,4.3,262.0,0.0,0.9,12.1,290.0,96.7,0.0,4.0,8.4,0.0,0.013793103448275862
2017,Vince Biegel,OLB,Wisconsin,6-3,246.0,4.67,33.5,21.0,118.0,6.92,4.3,True,4.0,108.0,8.81,32.38,24.5,19.4,242.0,8.5,8.8,2.4,202.0,0.0,0.3,0.0,91.0,27.3,0.0,0.0,29.3,0.0,0.0
2017,Ben Boulware,ILB,Clemson,6-0,238.0,,29.5,20.0,111.0,7.02,4.43,False,,,1.49,30.5,12.0,7.6,128.0,7.3,13.0,4.8,365.0,0.0,1.0,4.0,402.0,75.8,1.0,2.0,7.5,0.0024875621890547263,0.004975124378109453
2017,Tashawn Bower,OLB,LSU,6-5,250.0,4.82,31.5,20.0,121.0,7.2,4.37,False,,,,33.38,17.6,11.3,127.0,6.0,10.5,4.0,154.0,0.0,0.0,0.0,43.0,25.3,0.0,0.0,14.3,0.0,0.0
2017,Tyus Bowser,OLB,Houston,6-3,247.0,4.65,37.5,21.0,127.0,6.75,,True,2.0,47.0,9.74,33.25,19.1,11.0,163.0,8.4,8.7,0.8,180.0,0.0,1.0,6.3,152.0,48.3,0.0,1.0,9.1,0.0,0.006578947368421052
2017,Blair Brown,ILB,Ohio,5-11,238.0,4.65,37.0,,124.0,6.92,4.18,True,5.0,148.0,8.99,31.25,25.7,16.0,103.0,15.5,2.2,3.1,308.0,1.0,0.4,3.4,354.0,77.3,0.0,0.0,11.6,0.0,0.0
2017,Jayon Brown,ILB,UCLA,6-0,231.0,4.7,31.5,17.0,120.0,,,True,5.0,155.0,3.96,31.38,7.7,5.9,78.0,11.6,3.3,4.1,444.0,0.0,0.6,14.7,442.0,85.0,3.0,5.0,12.3,0.006787330316742082,0.011312217194570135
2017,Riley Bullough,ILB,Michigan State,6-2,226.0,,31.5,20.0,116.0,,,False,,,6.56,31.25,17.4,11.5,54.0,9.6,5.8,3.0,241.0,0.0,0.4,0.0,199.0,78.7,0.0,0.0,15.6,0.0,0.0
2017,Zach Cunningham,OLB,Vanderbilt,6-3,234.0,4.67,35.0,15.0,125.0,7.03,4.29,True,2.0,57.0,8.67,34.38,8.3,3.0,33.0,14.5,13.3,1.9,389.0,2.0,0.6,7.9,447.0,93.1,0.0,3.0,11.2,0.0,0.006711409395973154
2017,Jarrad Davis,ILB,Florida,6-1,238.0,,,,,,,True,1.0,21.0,9.07,33.5,13.3,12.9,32.0,8.6,17.1,3.0,225.0,0.0,0.6,14.3,211.0,86.8,0.0,3.0,9.4,0.0,0.014218009478672985
