Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,is_center,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
2017,Zach Banner,OG,USC,6-8,353.0,5.58,23.5,22.0,92.0,8.31,5.21,True,4.0,137.0,,34.88,0,0.06622516556291391,0.013245033112582781,151.0,344.0,71.8,0.40700000000000003,0.529,0.00808080808080808
2017,Ben Braden,OG,Michigan,6-6,329.0,5.04,28.0,25.0,102.0,7.85,4.9,False,,,9.06,34.0,0,0.09448818897637795,0.0,127.0,415.0,70.3,0.619,0.222,0.0018450184501845018
2017,Aviante Collins,OG,TCU,6-4,295.0,4.81,,34.0,,,,False,,,,33.38,0,0.08849557522123894,0.017699115044247787,226.0,398.0,63.3,0.21100000000000002,0.721,0.014423076923076924
2017,Ethan Cooper,OG,Indiana (PA),6-2,322.0,5.36,24.5,26.0,99.0,8.02,4.88,False,,,,32.62,0,,,,,,,,
2017,Dion Dawkins,OG,Temple,6-4,314.0,5.11,26.0,26.0,106.0,7.3,4.78,True,2.0,63.0,,35.0,0,0.04878048780487805,0.006097560975609756,164.0,492.0,72.0,0.41700000000000004,0.429,0.003048780487804878
2017,Jessamen Dunker,OG,Tennessee State,6-4,318.0,4.98,28.5,23.0,108.0,,,False,,,,33.5,0,,,,,,,,
2017,Pat Elflein,C,Ohio State,6-3,303.0,5.32,23.5,22.0,99.0,7.94,4.71,True,3.0,70.0,2.21,,1,0.04878048780487805,0.012195121951219513,164.0,459.0,88.2,0.355,0.56,0.006420545746388443
2017,Jermaine Eluemunor,OG,Texas A&M,6-4,332.0,5.22,,34.0,,,,True,5.0,159.0,,33.25,0,0.10236220472440945,0.015748031496062992,127.0,351.0,68.8,0.20800000000000002,0.698,0.0041841004184100415
2017,Dan Feeney,OG,Indiana,6-4,305.0,5.24,28.0,26.0,101.0,7.52,4.68,True,3.0,71.0,7.73,33.38,0,0.05714285714285714,0.009523809523809525,105.0,332.0,83.0,0.413,0.557,0.004576659038901602
2017,Kyle Fuller,C,Baylor,6-5,307.0,5.24,26.0,23.0,96.0,7.71,4.84,True,7.0,243.0,5.15,,1,0.0,0.0,53.0,507.0,67.5,0.493,0.436,0.010714285714285714
2017,Avery Gennesy,OG,Texas A&M,6-3,318.0,5.35,20.0,24.0,91.0,8.08,5.0,False,,,,33.62,0,0.07633587786259542,0.0,131.0,388.0,58.1,0.21100000000000002,0.691,0.007707129094412331
2017,Sean Harlow,OG,Oregon State,6-4,303.0,5.15,30.5,26.0,105.0,8.16,4.81,True,4.0,136.0,,32.0,0,0.12307692307692308,0.015384615384615385,65.0,306.0,82.1,0.268,0.634,0.005390835579514825
2017,Danny Isidora,OG,Miami (FL),6-3,306.0,5.03,29.0,26.0,94.0,8.13,4.9,True,5.0,180.0,6.58,33.0,0,0.023952095808383235,0.011976047904191617,167.0,365.0,73.0,0.326,0.611,0.0
2017,Dorian Johnson,OG,Pittsburgh,6-5,300.0,5.27,30.0,21.0,114.0,8.39,5.09,True,4.0,115.0,5.82,35.25,0,0.02247191011235955,0.0,89.0,469.0,75.7,0.19,0.507,0.0
2017,Forrest Lamp,OG,Western Kentucky,6-4,309.0,5.0,27.5,34.0,111.0,7.55,4.62,True,2.0,38.0,,32.25,0,0.009009009009009009,0.0,111.0,320.0,85.7,0.509,0.391,0.002320185614849188
2017,Cameron Lee,OG,Illinois State,6-5,312.0,5.44,25.5,18.0,100.0,8.02,4.75,False,,,3.16,33.88,0,,,,,,,,
2017,Corey Levin,OG,Tenn-Chattanooga,6-4,307.0,5.16,26.5,26.0,106.0,7.55,4.73,True,6.0,217.0,,33.5,0,,,,,,,,
2017,Damien Mama,OG,USC,6-3,334.0,5.84,24.5,,96.0,8.51,5.38,False,,,0.42,35.0,0,0.042682926829268296,0.0,164.0,365.0,74.7,0.395,0.512,0.005671077504725898
2017,Jordan Morgan,OG,Kutztown Pennsylvania,6-3,309.0,5.36,27.0,21.0,102.0,8.13,4.73,True,5.0,147.0,,34.62,0,,,,,,,,
2017,Tyler Orlosky,C,West Virginia,6-3,298.0,,,24.0,,,,False,,,1.97,,1,0.02072538860103627,0.0,193.0,515.0,70.2,0.237,0.6759999999999999,0.0014124293785310734
2017,Ethan Pocic,C,LSU,6-6,310.0,5.15,27.0,26.0,107.0,7.89,4.81,True,2.0,58.0,7.79,,1,0.0625,0.0,112.0,410.0,79.0,0.441,0.429,0.007662835249042145
2017,Chase Roullier,C,Wyoming,6-4,312.0,5.54,26.5,19.0,97.0,7.6,4.47,True,6.0,199.0,3.28,,1,0.00558659217877095,0.0,179.0,549.0,81.9,0.745,0.16899999999999998,0.0
2017,Nico Siragusa,OG,San Diego State,6-4,319.0,5.35,32.0,28.0,110.0,7.71,4.56,True,4.0,122.0,9.28,33.5,0,0.02197802197802198,0.01098901098901099,91.0,558.0,83.8,0.523,0.321,0.0015408320493066256
2017,Nate Theaker,OG,Wayne State (MI),6-5,315.0,5.41,27.0,23.0,105.0,7.97,4.89,False,,,,32.62,0,,,,,,,,
2017,Jon Toth,C,Kentucky,6-5,307.0,5.51,25.5,21.0,100.0,8.09,4.84,False,,,,,1,0.0375,0.0,160.0,492.0,80.5,0.34600000000000003,0.62,0.0015337423312883436
