rank,Player,School,Pos,Year,actual_round,actual_pick,predicted_round,Height,Weight,arm_length_inches,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,RAS,speed_score,explosive_score,agility_score,p4_conference,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,interceptions,pass_break_ups,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate,arm_33_plus,arm_34_plus,is_center,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,yards_after_contact,yco_attempt,elusive_rating,mtf_per_attempt,breakaway_percent,explosive_rate,targets_per_route,fumble_rate
31,Kitan Crawford,Nevada,S,2025,7,225,2.8656,70.625,202.0,31.0,4.41,41.5,128.0,18.0,,,9.55,106.81371182015218,2.9475804437567437,,0.0,0.5,16.7,410.0,97.4,12.5,0.0048780487804878,0.0121951219512195,47.4,56.7,1.7,14.0,12.1,430.0,0.0,2.0,5.0,50.0,9.1,11.0,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,
32,Walter Nolen,Ole Miss,DT,2025,1,16,2.8939,76.0,296.0,32.5,4.95,,,,,,,98.60544809050371,0.0,,1.0,,,,,,,,,,11.9,,,,,,,19.5,10.9,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Luther Burden III,Missouri,WR,2025,2,39,2.9153,72.0,206.0,31.25,4.41,,,,,,,108.92883482649182,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.32,11.1,75.3,9.1,114.0,54.5,4.7,6.1,30.0,85.3,11.8,0.3,95.4,,,,,,,,
34,Josh Simmons,Ohio State,OT,2025,1,32,2.9163,76.875,317.0,33.0,,,,,,,,,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0196078431372549,0.0,51.0,148.0,68.7,0.507,0.432,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Vernon Broughton,Texas,DT,2025,3,71,2.9307,77.0,311.0,35.0,,,,,,,,,0.0,,1.0,,,,,,,,,,7.6,,,,,,,18.1,13.0,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Jordan Watkins,Mississippi,WR,2025,4,138,3.0055,71.25,196.0,29.38,4.37,36.5,119.0,,,,8.79,107.48808340197904,0.3698958413659916,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.54,18.5,72.1,15.8,153.8,55.6,3.9,6.8,8.0,29.3,68.4,1.6,94.7,,,,,,,,
37,Tyleik Williams,Ohio State,DT,2025,1,28,3.0549,75.0,334.0,33.62,5.11,29.0,,,,4.59,,97.96994448097846,-0.018242013731553205,,1.0,,,,,,,,,,7.8,,,,,,,9.2,6.6,321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Tyler Shough,Louisville,QB,2025,2,40,3.0745,76.875,219.0,30.625,4.63,32.0,117.0,,,,9.7,95.3125626365587,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,1.8,8.2,101.1,9.3,3.3,0.18,44.3,12.0,,,,9.7,,,,,,,,,,,,,,,,,
39,Trey Amos,Ole Miss,CB,2025,2,61,3.0759,72.75,195.0,31.25,4.43,32.5,126.0,13.0,,,8.38,101.26274644557992,-0.9092233902581702,,1.0,0.6,21.0,515.0,99.4,7.7,0.0058252427184466,0.0194174757281553,54.5,51.6,1.6,21.1,5.9,323.0,1.0,3.0,10.0,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,,
40,Nic Scourton,Texas A&M,ED,2025,2,51,3.1794,75.0,257.0,33.0,4.59,,,,,,,115.80101788815811,0.0,,1.0,,,,,,,,,,7.3,,,,,,,22.9,17.0,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,J.T. Tuimoloau,Ohio State,ED,2025,2,45,3.33,76.0,265.0,33.75,4.62,35.5,119.0,,,,9.34,116.33434993119104,0.8209712128121167,,1.0,,,,,,,,,,7.8,,,,,,,19.1,12.1,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Kaleb Johnson,Iowa,RB,2025,3,83,3.3479,73.0,224.0,,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,1.29,,,,,,,,66.0,,,,,1060.0,4.42,131.5,0.275,56.1,0.1791666666666666,0.1700680272108843,0.0
43,Tai Felton,Maryland,WR,2025,3,102,3.368,73.125,183.0,30.0,4.37,39.5,130.0,,,,9.2,100.35877174776616,1.300833699420075,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.32,11.7,67.1,9.9,102.9,38.9,7.7,6.1,26.0,29.3,70.7,0.0,93.8,,,,,,,,
44,Nohl Williams,California,CB,2025,3,85,3.3738,72.375,199.0,30.625,4.5,,120.0,19.0,,,7.14,97.05837524767566,-0.7148544888329447,,1.0,0.7,15.4,535.0,99.8,7.8,0.0130841121495327,0.016822429906542,40.1,47.7,0.6,5.6,6.1,341.0,1.0,7.0,9.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,
45,Shedeur Sanders,Colorado,QB,2025,5,144,3.3855,73.5,212.0,31.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.3,8.6,116.0,20.1,7.3,0.18,49.0,13.0,,,,8.1,,,,,,,,,,,,,,,,,
46,KeAndre Lambert-Smith,Auburn,WR,2025,5,158,3.398,72.75,190.0,32.62,4.37,34.0,124.0,,,,9.03,104.19763186926541,-0.40588570701241133,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.7,19.6,62.5,13.7,112.6,50.0,5.7,7.4,8.0,14.3,85.4,0.3,96.0,,,,,,,,
47,Craig Woodson,California,S,2025,4,106,3.4083,72.125,200.0,30.5,4.45,36.0,127.0,13.0,,,8.75,102.0046446858664,0.9528367638251555,,1.0,0.5,21.1,472.0,98.3,11.7,0.0042372881355932,0.0127118644067796,74.8,71.1,4.3,6.7,6.0,308.0,0.0,2.0,6.0,33.3,12.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,
48,Josh Conerly Jr,Oregon,OT,2025,1,29,3.4086,76.625,311.0,33.5,5.05,34.5,103.0,,,,8.86,95.6367638829299,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0238095238095238,0.0,168.0,438.0,72.5,0.47,0.461,0.0033003300330033,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,R.J. Mickens,Clemson,S,2025,6,214,3.5309,72.0,199.0,32.25,4.49,41.5,121.0,,,,8.59,97.9259307525607,1.8164957818572427,,1.0,0.2,24.1,439.0,97.3,14.2,0.0045558086560364,0.0113895216400911,59.6,72.4,5.7,14.0,7.3,300.0,0.0,2.0,5.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,
50,Jacob Parrish,Kansas State,CB,2025,3,84,3.6009,69.75,191.0,30.75,4.35,37.5,129.0,12.0,,,8.82,106.68573045714054,1.4207044385624668,,1.0,1.1,12.5,382.0,97.2,4.9,0.0026178010471204,0.0078534031413612,73.3,55.6,2.5,16.0,5.7,289.0,0.0,1.0,3.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,
51,Barryn Sorrell,Texas,ED,2025,4,124,3.6363,75.0,256.0,32.25,4.68,34.0,121.0,28.0,7.06,4.36,9.31,106.73000964663186,0.6811610316092408,,1.0,,,,,,,,,,5.1,,,,,,,16.7,13.4,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Terrance Ferguson,Oregon,TE,2025,2,46,3.6543,77.375,247.0,32.88,4.63,39.0,122.0,,,,9.32,107.49864370424656,1.886579221474454,,1.0,,,,,,,,,,,,,,,,,,,,,,,244.0,60.2,,,,,,,,,,,,,,,12.0,2.02,13.7,66.2,7.8,110.5,25.0,8.5,9.0,8.0,42.0,15.7,40.5,86.7,,,,,,,,
53,Jalen Royals,Utah State,WR,2025,4,133,3.6659,72.0,205.0,30.12,4.42,,,13.0,,,9.01,107.42238226371815,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,15.3,67.9,9.4,100.8,53.3,5.2,7.9,17.0,22.1,77.9,0.0,96.6,,,,,,,,
54,Robert Longerbeam,Rutgers,CB,2025,6,212,3.678,71.0,175.0,31.5,4.39,,134.0,,,,8.72,94.23450711969397,1.781613063780119,,1.0,1.1,18.2,349.0,98.6,6.0,0.0057306590257879,0.0257879656160458,73.3,56.4,2.6,21.1,8.8,191.0,0.0,2.0,9.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,
55,Jihaad Campbell,Alabama,LB,2025,1,31,3.6913,74.7,235.0,32.12,4.52,,127.0,,,,9.88,112.60148515988557,1.2027642902312723,,1.0,0.5,6.7,332.0,77.0,10.4,0.003012048192771,0.0060240963855421,,,10.2,4.7,3.3,350.0,0.0,1.0,2.0,12.8,12.6,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Shemar Turner,Texas A&M,DT,2025,3,62,3.7002,75.0,290.0,33.62,4.8,27.5,,,,,,109.26046489197532,-0.5107763844834757,,1.0,,,,,,,,,,7.9,,,,,,,5.9,6.2,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Jaylin Noel,Iowa State,WR,2025,3,79,3.742,70.25,194.0,29.5,4.39,41.5,134.0,23.0,6.82,4.17,9.75,104.46568217840361,1.9214589381227973,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.62,14.9,67.2,12.2,111.8,52.0,4.8,4.2,3.0,69.6,27.3,1.0,93.4,,,,,,,,
58,Mike Green,Marshall,ED,2025,2,59,3.753,75.0,251.0,,4.57,,,28.0,6.85,4.25,,115.09035160911509,0.0,,0.0,,,,,,,,,,9.4,,,,,,,28.9,20.2,354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Kyle McCord,Syracuse,QB,2025,6,181,3.7707,75.0,218.0,31.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,3.5,8.0,101.0,17.0,4.5,0.25,50.9,13.0,,,,8.8,,,,,,,,,,,,,,,,,
