rank,Player,School,Pos,Year,actual_round,actual_pick,predicted_round,Height,Weight,arm_length_inches,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,RAS,speed_score,explosive_score,agility_score,p4_conference,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,interceptions,pass_break_ups,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate,arm_33_plus,arm_34_plus,is_center,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,yards_after_contact,yco_attempt,elusive_rating,mtf_per_attempt,breakaway_percent,explosive_rate,targets_per_route,fumble_rate
132,Barrett Carter,Clemson,LB,2025,4,119,5.2527,72.1,231.0,32.12,4.64,34.5,116.0,,,4.41,7.46,99.67128407061693,-0.4188768037733741,,1.0,0.9,6.8,416.0,83.5,8.9,0.0,0.0072115384615384,,,8.6,8.3,3.6,341.0,0.0,0.0,3.0,8.3,6.7,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Connor Colby,Iowa,IOL,2025,7,249,5.2827,77.75,309.0,32.0,,28.5,110.0,,7.78,4.63,9.48,,,0.7408634638753753,1.0,,,,,,,,,,,,,,,,,,,,0.0695652173913043,0.017391304347826,115.0,427.0,77.3,0.211,0.7240000000000001,0.0018450184501845,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Riley Leonard,Notre Dame,QB,2025,6,189,5.3313,75.75,216.0,31.5,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,2.0,7.0,95.8,12.4,4.0,0.07,47.1,16.0,,,,7.5,,,,,,,,,,,,,,,,,
135,Moliki Matavao,UCLA,TE,2025,7,248,5.3755,77.625,260.0,32.5,4.81,32.5,114.0,,,,6.59,97.14557834455174,-0.27981563930900005,,1.0,,,,,,,,,,,,,,,,,,,,,,,149.0,56.3,,,,,,,,,,,,,,,11.0,1.65,12.3,68.3,7.8,84.4,37.5,2.4,7.0,6.0,37.2,30.5,32.3,89.2,,,,,,,,
136,Jeffrey Bassa,Oregon,LB,2025,5,156,5.443,73.1,232.0,31.38,4.63,38.5,118.0,21.0,7.34,,6.83,100.97038598941378,1.1205450719858343,,1.0,0.6,13.0,294.0,83.3,12.0,0.0,0.0068027210884353,,,5.0,8.8,3.8,226.0,0.0,0.0,2.0,19.4,17.5,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,LaJohntay Wester,Colorado,WR,2025,6,203,5.4455,69.625,163.0,29.75,4.46,32.0,121.0,,,,3.12,82.3906947895119,-1.0265109457151336,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.79,12.6,80.4,8.0,136.0,66.7,3.9,7.1,10.0,91.7,2.7,5.7,92.4,,,,,,,,
138,Dillon Gabriel,Oregon,QB,2025,3,94,5.455,71.125,205.0,29.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,1.6,8.5,114.6,13.9,3.9,0.22,48.6,14.0,,,,7.0,,,,,,,,,,,,,,,,,
139,Elic Ayomanor,Stanford,WR,2025,4,136,5.4644,73.75,206.0,32.38,4.44,38.5,127.0,,,,9.71,106.01451615146095,0.9905210800687139,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.9,13.2,57.8,14.2,77.4,48.3,8.7,3.9,10.0,13.2,86.6,0.2,93.0,,,,,,,,
140,Quinn Ewers,Texas,QB,2025,7,231,5.4909,74.125,214.0,30.675,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.0,7.8,101.5,23.2,6.6,0.09,45.3,14.0,,,,7.9,,,,,,,,,,,,,,,,,
141,Jalon Walker,Georgia,LB,2025,1,15,5.4923,73.0,243.0,32.0,,,,,,,,,0.0,,1.0,0.5,0.0,178.0,47.7,14.3,0.0,0.0,,,8.7,14.0,3.0,249.0,0.0,0.0,0.0,18.5,17.2,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Marcus Mbow,Purdue,OT,2025,5,154,5.5012,76.125,303.0,32.0,,,,,,4.67,,,,0.4468228659724552,1.0,,,,,,,,,,,,,,,,,,,,0.0969696969696969,0.0181818181818181,165.0,281.0,78.7,0.381,0.5660000000000001,0.0044843049327354,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Mitchell Evans,Notre Dame,TE,2025,5,163,5.5018,77.375,241.0,31.88,4.74,31.0,115.0,,7.25,4.4,7.25,95.48467440848545,-0.7797529148744125,,0.0,,,,,,,,,,,,,,,,,,,,,,,209.0,60.7,,,,,,,,,,,,,,,16.0,1.39,9.7,72.9,6.7,102.2,72.7,6.5,4.4,9.0,57.8,12.2,28.2,87.2,,,,,,,,
144,Charles Grant,William & Mary,OT,2025,3,99,5.5395,76.875,311.0,,,,,19.0,,,5.79,,,-0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Robbie Ouzts,Alabama,TE,2025,5,175,5.5994,75.0,274.0,31.25,4.91,34.0,119.0,26.0,7.34,4.45,5.33,94.28760188058781,0.22012163625641243,,1.0,,,,,,,,,,,,,,,,,,,,,,,206.0,56.1,,,,,,,,,,,,,,,12.0,1.46,13.5,80.0,9.9,111.7,,0.0,5.8,1.0,21.4,7.1,68.4,75.5,,,,,,,,
146,Brashard Smith,SMU,RB,2025,7,228,5.6325,69.875,194.0,,4.39,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Smael Mondon Jr,Georgia,LB,2025,5,161,5.6595,74.2,224.0,31.75,4.58,,130.0,,,,9.42,101.81601661728443,1.6860348547021746,,1.0,0.4,13.3,179.0,70.5,11.0,0.0,0.0055865921787709,,,8.2,2.3,4.6,187.0,0.0,0.0,1.0,13.8,13.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Kobe King,Penn State,LB,2025,6,201,5.6715,72.5,236.0,31.25,4.63,,118.0,,,,8.02,102.71125471336919,-0.24704740318143517,,1.0,1.1,3.3,325.0,82.9,10.4,0.0,0.003076923076923,,,8.8,10.3,2.8,356.0,1.0,0.0,1.0,15.6,9.2,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Woody Marks,USC,RB,2025,4,116,5.6814,70.125,207.0,,4.54,35.0,,18.0,,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,1.1,,,,,,,,34.0,,,,,601.0,3.04,50.8,0.1717171717171717,37.6,0.1818181818181818,0.1843003412969283,0.0040816326530612
150,Dylan Fairchild,Georgia,IOL,2025,3,81,5.7033,77.25,318.0,33.0,,27.5,111.0,,,,,,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0352941176470588,0.0058823529411764,170.0,340.0,71.8,0.35,0.526,0.0039215686274509,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Chase Lundt,Connecticut,OT,2025,6,206,5.7191,79.5,304.0,32.62,,,,20.0,,,6.48,,,-0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0402684563758389,0.0,149.0,448.0,87.1,0.241,0.703,0.0016750418760469,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Miles Frazier,LSU,IOL,2025,5,171,5.7394,77.625,317.0,32.75,5.24,31.0,108.0,27.0,,,9.3,84.09382561430294,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0350877192982456,0.0,228.0,323.0,63.9,0.337,0.598,0.0018148820326678,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,LeQuint Allen,Syracuse,RB,2025,7,236,5.7451,72.125,204.0,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,1.29,,,,,,,,44.0,,,,,683.0,3.0,56.4,0.1929824561403508,23.2,0.1228070175438596,0.1907090464547677,0.0034246575342465
154,Jaylin Smith,USC,CB,2025,3,97,5.7635,68.5,187.0,29.75,4.45,32.5,122.0,15.0,,,4.82,95.37434278128508,-1.6224998338619028,,1.0,0.9,7.1,322.0,95.5,7.4,0.0062111801242236,0.0031055900621118,62.5,61.9,4.0,12.5,5.7,252.0,0.0,2.0,1.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,
155,Phil Mafah,Clemson,RB,2025,7,239,5.7754,72.625,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,0.31,,,,,,,,35.0,,,,,697.0,3.24,49.5,0.1627906976744186,37.4,0.1255813953488372,0.0876132930513595,0.0042372881355932
156,Shavon Revel Jr,East Carolina,CB,2025,3,76,5.7858,73.875,194.0,32.5,,,,,,,,,0.0,,0.0,1.8,14.3,116.0,99.1,5.2,0.0172413793103448,0.0172413793103448,48.8,38.1,1.2,33.3,1.0,87.0,0.0,2.0,2.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,
157,Jason Marshall Jr.,Florida,CB,2025,5,150,5.8251,72.375,194.0,30.25,4.49,,125.0,,,,9.43,95.46548023113958,0.17674106567172096,,1.0,0.9,26.3,206.0,97.6,10.2,0.0,0.0194174757281553,119.0,52.6,1.3,23.1,5.3,236.0,0.0,0.0,4.0,0.0,20.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,
158,Kevin Winston Jr.,Penn State,S,2025,3,82,5.8338,73.5,215.0,32.5,,,,,,,,,0.0,,1.0,1.5,0.0,43.0,97.7,12.7,0.0,0.0,109.7,66.7,6.7,0.0,5.0,30.0,1.0,0.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,
159,Garrett Dellinger,LSU,IOL,2025,7,243,5.8509,,,,,,,,,,9.75,,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.029126213592233,0.0,103.0,170.0,69.3,0.376,0.5529999999999999,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Denzel Burke,Ohio State,CB,2025,5,174,5.8622,71.25,186.0,31.375,4.48,,,,,,,92.34872076820201,0.0,,1.0,1.1,6.4,412.0,99.0,8.2,0.0048543689320388,0.0048543689320388,95.4,72.3,0.3,9.1,9.4,305.0,0.0,2.0,2.0,,33.3,4.0,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,
161,Kyle Monangai,Rutgers,RB,2025,7,233,5.8849,68.25,211.0,,4.6,34.5,,,,,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,0.44,,,,,,,,66.0,,,,,862.0,3.37,84.8,0.2578125,36.9,0.12890625,0.0988372093023255,0.0
162,Hayden Conner,Texas,IOL,2025,6,211,5.9294,78.0,314.0,33.25,,,,,7.9,4.88,7.62,,,-1.1167203483289063,1.0,,,,,,,,,,,,,,,,,,,,0.0411764705882352,0.0,170.0,450.0,65.9,0.447,0.469,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Jalen Milroe,Alabama,QB,2025,3,92,5.9873,73.875,217.0,30.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,2.5,8.7,93.6,18.5,6.2,0.03,45.3,13.0,,,,9.9,,,,,,,,,,,,,,,,,
164,Emery Jones Jr.,LSU,OT,2025,3,91,5.9936,77.25,315.0,34.25,,,,,,,,,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.087719298245614,0.0,228.0,308.0,61.0,0.3379999999999999,0.591,0.0074626865671641,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Jaydon Blue,Texas,RB,2025,5,149,6.0065,69.0,196.0,,4.38,,,,,,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,1.59,,,,,,,,37.0,,,,,517.0,3.83,113.1,0.2740740740740741,39.6,0.0962962962962963,0.2532751091703056,0.0284090909090909
166,Jack Kiser,Notre Dame,LB,2025,4,107,6.0546,73.5,231.0,30.38,4.62,34.5,117.0,,6.67,4.29,7.68,101.40843333624578,-0.2577866156164066,,0.0,0.6,4.8,256.0,77.8,11.3,0.0,0.00390625,,,9.1,3.6,4.6,312.0,1.0,0.0,1.0,18.9,14.9,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Gavin Bartholomew,Pittsburgh,TE,2025,6,202,6.0578,76.625,246.0,31.38,4.7,,,,,,8.87,100.82626302825942,,,1.0,,,,,,,,,,,,,,,,,,,,,,,232.0,52.7,,,,,,,,,,,,,,,13.0,0.8,8.5,74.5,4.8,116.6,100.0,7.3,4.4,5.0,23.3,25.7,49.9,90.6,,,,,,,,
168,Ajani Cornelius,Oregon,OT,2025,6,204,6.0647,76.625,310.0,33.5,,,,,,,,,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.1309523809523809,0.0119047619047619,168.0,439.0,73.8,0.469,0.462,0.0049423393739703,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Jonah Monheim,USC,IOL,2025,7,221,6.1182,76.125,302.0,,,,,,,,,,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0402298850574712,0.0,174.0,293.0,71.4,0.625,0.331,0.0021413276231263,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Hunter Wohler,Wisconsin,S,2025,7,232,6.1787,74.0,213.0,30.62,4.57,37.0,120.0,,6.72,4.25,9.26,97.66631431371121,0.15505394861712524,,1.0,0.6,25.9,317.0,94.3,11.2,0.0,0.0189274447949526,117.7,59.3,4.8,12.3,7.1,339.0,0.0,0.0,6.0,16.7,11.1,19.0,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,
171,Arian Smith,Georgia,WR,2025,4,110,6.206,72.125,179.0,31.25,4.36,38.0,127.0,,6.82,4.19,9.2,99.06883810989855,0.8353647703930333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.95,16.7,66.7,12.5,105.2,22.2,17.2,7.9,5.0,20.4,79.4,0.0,93.0,,,,,,,,
172,Jackson Hawes,Georgia Tech,TE,2025,5,173,6.2314,76.5,253.0,32.12,4.82,34.5,121.0,16.0,,4.4,7.23,93.74807609864736,0.3867673947782166,,1.0,,,,,,,,,,,,,,,,,,,,,,,299.0,74.7,,,,,,,,,,,,,,,11.0,1.01,12.2,80.0,4.2,107.3,0.0,11.1,8.3,3.0,30.7,3.4,63.3,73.1,,,,,,,,
173,Gunnar Helm,Texas,TE,2025,4,120,6.2456,77.0,241.0,32.75,4.84,30.0,,,7.15,4.4,4.33,87.83459268011387,-1.1130444319180208,,1.0,,,,,,,,,,,,,,,,,,,,,,,445.0,43.5,,,,,,,,,,,,,,,16.0,1.61,13.1,82.2,7.1,137.8,50.0,3.2,7.0,12.0,22.0,9.7,68.3,80.3,,,,,,,,
174,Trevor Etienne,Georgia,RB,2025,4,114,6.2588,68.75,198.0,,4.42,35.0,,15.0,,,6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,1.03,,,,,,,,28.0,,,,,419.0,3.43,93.7,0.2295081967213114,31.0,0.1393442622950819,0.175531914893617,0.0129870129870129
175,Chris Paul Jr,Ole Miss,LB,2025,5,172,6.2751,72.7,222.0,29.88,4.63,36.0,117.0,,,,6.13,96.61821417952525,0.19867894667557096,,1.0,0.9,12.1,278.0,78.8,7.8,0.0035971223021582,0.014388489208633,,,13.4,3.4,2.6,268.0,0.0,1.0,4.0,22.7,9.4,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Malaki Starks,Georgia,S,2025,1,27,6.3077,72.875,197.0,31.62,4.5,33.0,,,7.26,4.45,5.29,96.08291418991007,-0.7967283869542695,,1.0,1.0,9.8,512.0,98.5,9.3,0.001953125,0.00390625,99.6,66.7,2.1,4.3,6.8,387.0,0.0,1.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,
177,Donovan Jackson,Ohio State,IOL,2025,1,24,6.4097,75.625,315.0,33.5,,,,,,,8.96,,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0875,0.0125,160.0,394.0,70.2,0.51,0.3929999999999999,0.003610108303249,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Ricky White III,UNLV,WR,2025,7,238,6.4255,73.125,184.0,31.75,4.61,36.0,123.0,,,,3.37,81.47870486647932,0.21473953169031096,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.93,13.2,62.9,11.8,108.7,39.1,8.2,5.4,23.0,34.5,65.5,0.0,94.9,,,,,,,,
179,Jimmy Horn Jr.,Colorado,WR,2025,6,208,6.4442,68.125,174.0,30.38,4.46,38.0,128.0,,,4.41,4.48,87.95080302684092,0.8353647703930333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.64,11.9,69.8,7.8,85.5,33.3,5.1,6.9,9.0,90.9,5.6,3.1,93.7,,,,,,,,
180,Rayuan Lane III,Navy,S,2025,6,200,6.4758,70.875,200.0,30.25,4.57,37.0,124.0,,7.1,4.28,5.25,91.70545944949409,0.8013880411311256,,0.0,0.5,21.1,466.0,99.1,11.5,0.0042918454935622,0.0107296137339055,69.1,47.4,3.3,19.2,7.0,368.0,1.0,2.0,5.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,,,
181,Shemar James,Florida,LB,2025,5,152,6.5189,73.0,222.0,31.5,4.69,32.0,117.0,,7.09,4.27,5.66,91.76807025839665,-1.0185625527697022,,1.0,1.2,8.1,291.0,82.9,7.5,0.0034364261168384,0.0068728522336769,,,5.2,12.8,5.2,256.0,1.0,1.0,2.0,25.0,15.5,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Tyler Booker,Alabama,IOL,2025,1,12,6.5862,76.625,321.0,34.5,5.38,27.0,94.0,21.0,7.96,4.84,3.68,76.63125275755415,,-1.1019718991481873,1.0,,,,,,,,,,,,,,,,,,,,0.0344827586206896,0.0,203.0,383.0,63.9,0.475,0.418,0.0068259385665529,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Dante Trader Jr.,Maryland,S,2025,5,155,6.6724,70.875,196.0,31.25,,31.0,117.0,12.0,7.09,4.32,2.93,,-2.329507700917198,,1.0,0.8,21.7,302.0,98.7,12.4,0.0033112582781456,0.0132450331125827,98.8,69.6,2.6,3.2,6.8,272.0,0.0,1.0,4.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,
184,Kaden Prather,Maryland,WR,2025,7,240,6.7665,75.5,204.0,31.88,4.46,30.0,114.0,,,,7.68,103.1147345831928,-1.647136184417856,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.25,11.1,64.4,12.7,81.6,35.3,1.8,3.8,6.0,8.5,91.5,0.0,94.0,,,,,,,,
185,Kalel Mullings,Michigan,RB,2025,6,188,6.7751,73.5,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,0.39,,,,,,,,38.0,,,,,657.0,3.55,74.4,0.2054054054054054,39.0,0.0864864864864864,0.0898876404494382,0.0
186,Collin Oliver,Oklahoma State,LB,2025,5,159,7.1004,73.7,240.0,30.75,4.56,39.0,126.0,,,,,111.01505200691061,2.5614217646722333,,1.0,0.0,,4.0,8.0,,0.0,0.0,,,3.3,33.3,-1.0,30.0,0.0,0.0,0.0,42.9,31.8,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Konata Mumpfield,Pittsburgh,WR,2025,7,242,7.1333,71.375,186.0,29.38,4.59,36.0,124.0,,,,6.35,83.80929699298603,0.21473953169031096,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.87,15.6,62.7,13.1,100.1,60.0,7.1,4.3,5.0,37.4,62.2,0.2,94.0,,,,,,,,
188,Omarr Norman-Lott,Tennessee,DT,2025,3,63,7.3787,74.0,291.0,33.75,5.15,31.5,113.0,,,,5.95,82.73591390190893,1.9676552815790456,,1.0,,,,,,,,,,6.0,,,,,,,30.8,18.9,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
