Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,avg_depth_of_target
2018,Godwin Igwebuike,S,Northwestern,6-0,205.0,4.44,35.5,19.0,128.0,6.56,4.12,False,,,9.65,31.25,,,,3.8,9.6,8.2,343.0,0.0,0.8,21.6,524.0,100.0,2.0,9.0,9.9,0.003816793893129771,0.01717557251908397,87.5,56.9,11.7
2018,Natrell Jamerson,S,Wisconsin,6-0,198.0,4.4,35.5,25.0,120.0,,,True,5.0,164.0,8.23,32.62,0.0,0.0,8.0,2.4,6.1,9.7,333.0,0.0,0.6,36.0,470.0,98.3,2.0,7.0,17.8,0.00425531914893617,0.014893617021276596,93.8,52.0,13.7
2018,Derwin James,S,Florida State,6-3,215.0,4.47,40.0,21.0,132.0,,,True,1.0,17.0,9.34,33.0,27.8,23.7,43.0,2.5,6.8,7.9,370.0,0.0,0.5,25.6,406.0,90.4,2.0,10.0,10.0,0.0049261083743842365,0.024630541871921183,48.1,46.2,7.2
2018,Joshua Kalu,S,Nebraska,6-1,195.0,4.58,41.5,17.0,134.0,,,False,,,8.99,32.75,0.0,16.7,6.0,1.4,23.7,13.2,281.0,1.0,0.7,22.9,292.0,98.0,2.0,7.0,7.9,0.00684931506849315,0.023972602739726026,72.3,51.4,12.2
2018,Kameron Kelly,S,San Diego State,6-2,200.0,4.66,33.0,9.0,120.0,6.94,4.28,False,,,,31.75,20.0,10.0,10.0,4.3,10.5,6.3,404.0,1.0,1.2,13.4,367.0,97.3,3.0,4.0,5.2,0.008174386920980926,0.010899182561307902,65.0,55.2,13.9
2018,Siran Neal,S,Jacksonville State,6-0,199.0,4.56,40.5,17.0,122.0,7.0,4.28,True,5.0,154.0,,31.12,,,,,,,,,,,,,,,,,,,,
2018,Max Redfield,S,Indiana (PA),6-1,205.0,4.69,,15.0,,,,False,,,,30.0,,,,,,,,,,,,,,,,,,,,
2018,Justin Reid,S,Stanford,6-1,204.0,4.4,36.5,16.0,128.0,6.65,4.15,True,3.0,68.0,9.63,31.62,100.0,12.5,9.0,3.4,8.2,9.4,423.0,0.0,1.3,16.3,457.0,98.1,5.0,6.0,8.7,0.010940919037199124,0.01312910284463895,91.5,65.3,9.9
2018,Stephen Roberts,S,Auburn,5-11,189.0,4.53,34.0,,121.0,,,False,,,3.93,31.38,0.0,0.0,3.0,2.9,12.1,6.3,380.0,0.0,0.4,24.2,423.0,99.3,0.0,7.0,12.3,0.0,0.016548463356973995,66.2,51.5,8.1
2018,Dominick Sanders,S,Georgia,6-0,193.0,,,14.0,,,,False,,,2.33,30.62,0.0,0.0,7.0,1.3,14.8,9.8,394.0,0.0,0.7,8.1,475.0,98.5,4.0,2.0,12.4,0.008421052631578947,0.004210526315789474,75.2,62.2,11.8
2018,Van Smith,S,Clemson,5-11,185.0,4.61,29.5,,,,,False,,,0.6,30.12,,0.0,1.0,2.8,18.2,7.4,295.0,0.0,0.5,3.1,362.0,99.7,1.0,1.0,10.9,0.0027624309392265192,0.0027624309392265192,83.2,59.4,9.2
2018,Trey Walker,S,Louisiana-Lafayette,6-2,200.0,4.51,33.0,14.0,119.0,7.0,4.28,False,,,,33.5,0.0,0.0,7.0,3.3,10.4,11.7,433.0,0.0,1.1,13.6,394.0,98.3,2.0,5.0,8.5,0.005076142131979695,0.012690355329949238,85.2,56.8,12.7
2018,Armani Watts,S,Texas A&M,5-11,205.0,,35.0,13.0,120.0,7.25,4.37,True,4.0,124.0,,31.0,0.0,0.0,5.0,4.3,14.6,6.5,378.0,2.0,1.2,9.6,415.0,98.8,4.0,4.0,7.7,0.00963855421686747,0.00963855421686747,90.8,69.2,10.4
2018,Damon Webb,S,Ohio State,5-11,195.0,4.62,,17.0,,,,False,,,4.96,31.25,0.0,0.0,3.0,2.2,13.3,11.1,364.0,0.0,0.5,9.8,499.0,99.4,5.0,2.0,9.3,0.01002004008016032,0.004008016032064128,29.7,56.9,8.4
2018,Kyzir White,S,West Virginia,6-2,216.0,,35.5,21.0,113.0,,,True,4.0,119.0,7.57,31.62,10.0,6.5,73.0,4.9,4.0,4.6,430.0,1.0,0.8,7.1,375.0,83.7,3.0,3.0,8.6,0.008,0.008,53.0,64.3,7.7
