Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,avg_depth_of_target
2021,Shaun Wade,CB,Ohio St.,6-0,196.0,,,,,,,True,5.0,160.0,9.59,,0.0,0.0,3.0,1.1,0.0,9.7,186.0,0.0,1.8,11.5,331.0,99.1,2.0,4.0,5.2,0.006042296072507553,0.012084592145015106,118.4,63.9,12.0
2021,Rachad Wildgoose,CB,Wisconsin,5-11,197.0,4.53,36.0,11.0,120.0,7.09,4.18,True,6.0,213.0,7.19,,0.0,0.0,2.0,4.8,0.0,-1.0,21.0,0.0,2.6,18.2,33.0,94.3,0.0,1.0,2.6,0.0,0.030303030303030304,76.3,54.5,13.7
2021,Avery Williams,CB,Boise St.,5-8,187.0,4.43,33.5,19.0,121.0,6.88,4.0,True,5.0,183.0,7.76,,,100.0,1.0,2.5,14.3,2.9,165.0,1.0,1.7,6.7,132.0,99.2,0.0,1.0,8.1,0.0,0.007575757575757576,118.8,80.0,12.7
2021,Rodarius Williams,CB,Oklahoma St.,5-11,189.0,4.5,36.5,14.0,123.0,6.98,4.15,True,6.0,201.0,8.13,,,,,0.5,0.0,20.8,224.0,0.0,0.6,38.1,255.0,100.0,0.0,6.0,11.0,0.0,0.023529411764705882,71.1,47.6,15.7
2021,Trill Williams,CB,Syracuse,6-2,208.0,,36.0,20.0,123.0,,,False,,,7.71,,0.0,0.0,5.0,2.3,16.7,4.0,179.0,0.0,0.8,19.0,168.0,97.1,1.0,4.0,7.5,0.005952380952380952,0.023809523809523808,80.1,66.7,4.7
2021,Marco Wilson,CB,Florida,5-11,191.0,4.37,43.5,26.0,136.0,6.8,4.13,True,4.0,136.0,9.99,,0.0,0.0,6.0,1.1,42.9,5.0,271.0,0.0,1.6,13.2,324.0,98.2,0.0,4.0,5.8,0.0,0.012345679012345678,117.6,69.8,10.1
2022,Jalyn Armour-Davis,CB,Alabama,6-1,197.0,4.39,34.5,14.0,,,,True,4.0,119.0,7.15,,0.0,0.0,4.0,0.5,25.0,3.0,227.0,0.0,0.8,13.6,376.0,98.9,3.0,3.0,8.1,0.007978723404255319,0.007978723404255319,52.3,61.4,11.3
2022,Kalon Barnes,CB,Baylor,6-0,183.0,4.23,,,,,,True,7.0,242.0,6.31,,100.0,66.7,3.0,1.0,0.0,10.7,205.0,0.0,1.3,15.0,315.0,99.1,1.0,4.0,7.6,0.0031746031746031746,0.012698412698412698,100.8,52.5,16.4
2022,Andrew Booth,CB,Clemson,6-0,194.0,,,,,,,True,2.0,42.0,,,33.3,16.7,7.0,2.6,31.3,5.1,237.0,0.0,1.0,12.8,334.0,97.9,3.0,3.0,6.7,0.008982035928143712,0.008982035928143712,70.0,61.7,11.3
2022,Montaric Brown,CB,Arkansas,6-0,196.0,4.55,,,,,,True,7.0,222.0,4.23,,,50.0,2.0,1.6,10.0,9.5,390.0,0.0,1.3,10.5,442.0,99.5,5.0,6.0,7.3,0.011312217194570135,0.013574660633484163,74.7,54.4,13.9
