Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
2017,Conor McDermott,OT,UCLA,6-8,307.0,5.18,28.5,,105.0,7.52,4.58,True,6.0,211.0,8.7,34.75,0.05,0.007692307692307693,260.0,302.0,75.0,0.371,0.563,0.0035587188612099642
2017,Taylor Moton,OT,West. Michigan,6-5,319.0,5.18,30.5,23.0,109.0,7.73,4.58,True,2.0,64.0,8.47,34.12,0.035211267605633804,0.0,142.0,561.0,81.1,0.21899999999999997,0.722,0.005689900426742532
2017,Ryan Ramczyk,OT,Wisconsin,6-6,310.0,,,25.0,,,,True,1.0,32.0,,33.75,0.02531645569620253,0.0,158.0,605.0,91.4,0.539,0.293,0.0
2017,Cam Robinson,OT,Alabama,6-6,322.0,5.15,26.0,,106.0,7.81,4.82,True,2.0,34.0,7.98,35.5,0.06976744186046512,0.007751937984496124,129.0,495.0,77.3,0.307,0.628,0.003205128205128205
2017,Justin Senior,OT,Mississippi State,6-5,331.0,5.55,23.0,,98.0,8.19,5.06,True,6.0,210.0,0.64,34.0,0.06,0.02,150.0,502.0,79.4,0.33299999999999996,0.55,0.009202453987730062
2017,David Sharpe,OT,Florida,6-6,343.0,5.44,20.5,19.0,97.0,7.87,4.78,True,4.0,129.0,2.79,35.38,0.04477611940298507,0.009950248756218905,201.0,368.0,67.2,0.38299999999999995,0.516,0.0
2017,Dan Skipper,OT,Arkansas,6-10,309.0,5.42,26.0,,97.0,7.61,5.01,False,,,2.96,33.38,0.0945945945945946,0.0045045045045045045,222.0,457.0,74.0,0.562,0.293,0.016200294550810016
2017,Sam Tevi,OT,Utah,6-5,311.0,5.27,26.0,15.0,107.0,7.84,4.6,True,6.0,190.0,5.78,34.0,0.06837606837606838,0.0,117.0,412.0,70.7,0.45399999999999996,0.49,0.001890359168241966
2017,Jerry Ugokwe,OT,William & Mary,6-7,321.0,5.61,26.0,18.0,103.0,8.35,5.17,False,,,1.46,35.38,,,,,,,,
2017,Chad Wheeler,OT,USC,6-7,306.0,5.48,20.5,15.0,105.0,,5.01,False,,,1.7,33.12,0.07602339181286549,0.005847953216374269,171.0,400.0,61.8,0.39799999999999996,0.523,0.0017513134851138354
