Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,Sacks_final_season,TFL_cumulative,TFL_final_season,QB_Hurry_cumulative,QB_Hurry_final_season,PD_cumulative,PD_final_season,SOLO_cumulative,SOLO_final_season,TOT_cumulative,TOT_final_season
2011,Von Miller,OLB,Texas A&M,6-3,246.0,4.42,37.0,21.0,126.0,6.7,4.06,True,1.0,2.0,,,,,,,,,,,,
2011,Dontay Moch,OLB,Nevada,6-1,248.0,4.4,42.0,21.0,128.0,7.09,4.38,True,3.0,66.0,,,,,,,,,,,,
2011,Mike Mohamed,ILB,California,6-3,239.0,4.65,32.0,21.0,115.0,6.7,4.0,True,6.0,189.0,,,,,,,,,,,,
2011,Adrian Moten,OLB,Maryland,6-2,228.0,4.53,31.0,18.0,114.0,7.05,4.21,False,,,,,,,,,,,,,,
2011,Jonas Mouton,OLB,Michigan,6-1,239.0,4.84,31.5,,115.0,7.08,4.34,True,2.0,61.0,,,,,,,,,,,,
2011,Brooks Reed,OLB,Arizona,6-2,263.0,4.65,30.5,30.0,113.0,7.11,4.28,True,2.0,42.0,,,,,,,,,,,,
2011,Brian Rolle,OLB,Ohio State,5-10,229.0,4.53,33.0,28.0,115.0,6.89,4.26,True,6.0,193.0,,,,,,,,,,,,
2011,Kelvin Sheppard,ILB,LSU,6-2,250.0,4.7,33.5,22.0,110.0,,4.28,True,3.0,68.0,,,,,,,,,,,,
2011,D.J. Smith,OLB,Appalachian State,5-11,239.0,4.71,31.0,20.0,104.0,7.35,4.45,True,6.0,186.0,,,,,,,,,,,,
2011,Derrell Smith,ILB,Syracuse,6-0,243.0,4.76,,,,,,False,,,,,,,,,,,,,,
2011,Quan Sturdivant,ILB,North Carolina,6-1,241.0,4.75,34.0,21.0,115.0,,4.5,True,6.0,171.0,,,,,,,,,,,,
2011,J.T. Thomas,OLB,West Virginia,6-1,241.0,4.65,30.5,23.0,114.0,7.23,4.28,True,6.0,195.0,,,,,,,,,,,,
2011,Chris White,ILB,Mississippi State,6-3,240.0,4.65,34.0,17.0,115.0,6.95,4.25,True,6.0,169.0,,,,,,,,,,,,
2011,Lawrence Wilson,OLB,Connecticut,6-1,229.0,4.71,32.5,24.0,113.0,7.31,4.5,True,6.0,166.0,,,,,,,,,,,,
2011,Martez Wilson,ILB,Illinois,6-4,250.0,4.42,36.0,23.0,124.0,7.04,4.28,True,3.0,72.0,,,,,,,,,,,,
2011,K.J. Wright,OLB,Mississippi State,6-3,246.0,4.71,32.0,20.0,120.0,7.26,4.46,True,4.0,99.0,,,,,,,,,,,,
2012,Emmanuel Acho,OLB,Texas,6-2,238.0,4.64,35.5,24.0,118.0,,,True,6.0,204.0,,,,,,,,,,,,
2012,Ryan Baker,OLB,LSU,5-11,232.0,4.8,34.0,30.0,113.0,7.21,4.35,False,,,,,,,,,,,,,,
2012,Nigel Bradham,OLB,Florida State,6-2,241.0,4.56,37.0,24.0,121.0,7.18,4.37,True,4.0,105.0,,,,,,,,,,,,
2012,Zach Brown,OLB,North Carolina,6-1,244.0,4.44,33.5,,116.0,,,True,2.0,52.0,,,,,,,,,,,,
2012,Vontaze Burfict,ILB,Arizona State,6-1,248.0,5.0,30.0,,104.0,,,False,,,,,,,,,,,,,,
2012,Miles Burris,OLB,San Diego State,6-2,246.0,4.67,37.5,31.0,121.0,,,True,4.0,129.0,,,,,,,,,,,,
2012,Tank Carder,ILB,TCU,6-2,236.0,4.58,34.5,19.0,121.0,6.89,4.18,True,5.0,147.0,,,,,,,,,,,,
2012,Audie Cole,ILB,North Carolina State,6-4,246.0,4.76,35.0,15.0,114.0,6.96,4.29,True,7.0,210.0,,,,,,,,,,,,
2012,Lavonte David,OLB,Nebraska,6-1,233.0,4.57,36.5,19.0,119.0,7.28,4.22,True,2.0,58.0,,,,,,,,,,,,
2012,Demario Davis,OLB,Arkansas State,6-2,235.0,4.49,38.5,32.0,124.0,7.19,4.28,True,3.0,77.0,,,,,,,,,,,,
2012,Darius Fleming,OLB,Notre Dame,6-2,245.0,4.71,33.5,27.0,114.0,7.03,4.28,True,5.0,165.0,,,,,,,,,,,,
2012,Chris Galippo,ILB,USC,6-1,241.0,4.73,29.5,19.0,107.0,6.9,4.1,False,,,,,,,,,,,,,,
2012,Najee Goode,ILB,West Virginia,6-0,244.0,4.55,35.5,,117.0,,,True,5.0,140.0,,,,,,,,,,,,
2012,Dont'a Hightower,ILB,Alabama,6-2,265.0,4.62,32.0,,,,,True,1.0,25.0,,,,,,,,,,,,
2012,Melvin Ingram,OLB,South Carolina,6-1,264.0,4.69,34.5,28.0,109.0,6.83,4.18,True,1.0,18.0,,,,,,,,,,,,
2012,Bruce Irvin,OLB,West Virginia,6-3,245.0,4.41,33.5,23.0,123.0,6.7,4.03,True,1.0,15.0,,,,,,,,,,,,
2012,James-Michael Johnson,ILB,Nevada,6-1,241.0,4.6,37.0,23.0,124.0,7.34,4.37,True,4.0,120.0,,,,,,,,,,,,
2012,Steven Johnson,OLB,Kansas,6-0,239.0,4.71,36.0,16.0,113.0,7.32,4.38,False,,,,,,,,,,,,,,
2012,Josh Kaddu,OLB,Oregon,6-3,239.0,4.67,34.0,20.0,119.0,,,True,5.0,155.0,,,,,,,,,,,,
2012,Mychal Kendricks,ILB,California,5-11,239.0,4.44,39.5,24.0,127.0,,4.19,True,2.0,46.0,,,,,,,,,,,,
2012,Luke Kuechly,ILB,Boston Col.,6-3,242.0,4.58,38.0,27.0,123.0,6.92,4.12,True,1.0,9.0,,,,,,,,,,,,
2012,Ronnell Lewis,OLB,Oklahoma,6-2,253.0,4.65,31.0,36.0,112.0,7.09,4.4,True,4.0,125.0,,,,,,,,,,,,
2012,Travis Lewis,OLB,Oklahoma,6-1,246.0,4.83,36.0,22.0,122.0,,,True,7.0,223.0,,,,,,,,,,,,
2012,Brandon Lindsey,OLB,Pittsburgh,6-2,254.0,4.85,33.0,23.0,117.0,7.36,4.28,False,,,,,,,,,,,,,,
2012,Shawn Loiseau,ILB,Merrimack,6-0,244.0,4.74,32.5,19.0,109.0,,,False,,,,,,,,,,,,,,
2012,Terrell Manning,OLB,North Carolina State,6-2,237.0,4.71,32.5,22.0,114.0,7.18,4.43,True,5.0,163.0,,,,,,,,,,,,
2012,Brandon Marshall,OLB,Nevada,6-1,242.0,4.72,30.5,28.0,108.0,7.05,4.09,True,5.0,142.0,,,,,,,,,,,,
2012,Jonathan Massaquoi,OLB,Troy,6-2,264.0,4.81,33.5,20.0,120.0,7.38,4.53,True,5.0,164.0,,,,,,,,,,,,
2012,Shea McClellin,OLB,Boise State,6-3,260.0,4.62,31.5,19.0,118.0,7.07,4.33,True,1.0,19.0,,,,,,,,,,,,
2012,Caleb McSurdy,ILB,Montana,6-1,245.0,4.82,30.0,26.0,110.0,7.26,4.28,True,7.0,222.0,,,,,,,,,,,,
2012,Tyler Nielsen,OLB,Iowa,6-3,238.0,4.63,,21.0,,7.27,4.31,False,,,,,,,,,,,,,,
2012,Keenan Robinson,ILB,Texas,6-3,242.0,4.72,35.5,27.0,120.0,,,True,4.0,119.0,,,,,,,,,,,,
2012,Sean Spence,OLB,Miami (FL),5-11,231.0,4.66,33.5,12.0,119.0,7.46,4.28,True,3.0,86.0,,,,,,,,,,,,
2012,Nathan Stupar,OLB,Penn State,6-2,241.0,4.65,31.0,21.0,116.0,6.84,4.28,True,7.0,230.0,,,,,,,,,,,,
2012,Danny Trevathan,OLB,Kentucky,6-0,237.0,4.84,31.5,18.0,111.0,,,True,6.0,188.0,,,,,,,,,,,,
2012,Tahir Whitehead,OLB,Temple,6-1,233.0,4.62,37.0,21.0,124.0,7.14,4.37,True,5.0,138.0,,,,,,,,,,,,
2012,Kyle Wilber,OLB,Wake Forest,6-4,249.0,4.73,33.5,25.0,117.0,7.11,4.31,True,4.0,113.0,,,,,,,,,,,,
2013,Kiko Alonso,ILB,Oregon,6-3,238.0,4.74,,,,,,True,2.0,46.0,,,,,,,,,,,,
2013,Sam Barrington,ILB,South Florida,6-1,246.0,4.91,32.5,22.0,117.0,,,True,7.0,232.0,,,,,,,,,,,,
