Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season
2014,Josh Mauro,DE,Stanford,6-6,271.0,5.21,32.0,21.0,116.0,7.43,4.51,False,,,,,,,,
2014,Tevin Mims,DE,South Florida,6-4,260.0,4.95,27.5,17.0,109.0,,,False,,,,,,,,
2014,Zach Moore,DE,Concordia (MN),6-5,269.0,4.84,33.5,23.0,123.0,7.41,4.46,True,6.0,198.0,,,,,,
2014,Trent Murphy,DE,Stanford,6-5,250.0,4.86,35.5,19.0,118.0,6.78,4.2,True,2.0,47.0,,,,,,
2014,Jeoffrey Pagan,DE,Alabama,6-3,310.0,4.92,,,,,,True,6.0,177.0,,,,,,
2014,Michael Sam,DE,Missouri,6-2,261.0,4.91,25.5,17.0,114.0,7.8,4.7,True,7.0,249.0,,,,,,
2014,Marcus Smith,DE,Louisville,6-3,251.0,4.66,35.0,23.0,121.0,7.48,4.47,True,1.0,26.0,,,,,,
2014,Ed Stinson,DE,Alabama,6-3,287.0,4.98,,,,,,True,5.0,160.0,,,,,,
2014,Brent Urban,DE,Virginia,6-7,295.0,4.98,,,,,,True,4.0,134.0,,,,,,
2014,Ethan Westbrooks,DE,West Texas A&M,6-3,267.0,4.9,29.0,19.0,110.0,7.3,4.67,False,,,,,,,,
2014,Kerry Wynn,DE,Richmond,6-5,266.0,4.97,34.0,31.0,113.0,,,False,,,,,,,,
2015,Henry Anderson,DE,Stanford,6-6,294.0,4.97,30.0,,111.0,7.2,4.19,True,3.0,93.0,,,,,,
2015,Arik Armstead,DE,Oregon,6-7,292.0,5.06,34.0,24.0,117.0,7.57,4.53,True,1.0,17.0,,,,,,
2015,Tavaris Barnes,DE,Clemson,6-4,282.0,4.8,,22.0,,,,False,,,,,,,,
2015,Anthony Chickillo,DE,Miami (FL),6-3,267.0,4.79,34.5,27.0,114.0,7.17,4.25,True,6.0,212.0,,,,,,
2015,Frank Clark,DE,Michigan,6-3,271.0,4.79,38.5,19.0,118.0,7.08,4.05,True,2.0,63.0,,,,,,
2015,Corey Crawford,DE,Clemson,6-5,299.0,5.01,33.0,,110.0,7.64,4.65,False,,,,,,,,
2015,Ryan Delaire,DE,Towson,6-4,254.0,4.97,,23.0,,,,False,,,,,,,,
2015,B.J. Dubose,DE,Louisville,6-4,284.0,5.06,,26.0,,,,True,6.0,193.0,,,,,,
2015,Alvin Dupree,DE,Kentucky,6-4,269.0,4.56,42.0,,138.0,,,True,1.0,22.0,,,,,,
2015,Trey Flowers,DE,Arkansas,6-2,266.0,4.93,36.5,28.0,121.0,7.34,4.4,True,4.0,101.0,,,,,,
2015,Randy Gregory,DE,Nebraska,6-5,235.0,4.64,36.5,24.0,125.0,,,True,2.0,60.0,,,,,,
2015,Obum Gwacham,DE,Oregon State,6-5,246.0,4.72,36.0,22.0,121.0,7.28,4.28,True,6.0,209.0,,,,,,
2015,Danielle Hunter,DE,LSU,6-5,252.0,4.57,,25.0,,,,True,3.0,88.0,,,,,,
2015,Martin Ifedi,DE,Memphis,6-3,275.0,4.88,31.0,16.0,111.0,7.39,4.58,True,7.0,227.0,,,,,,
2015,Mario Edwards Jr.,DE,Florida State,6-3,279.0,4.76,32.5,32.0,120.0,7.44,4.55,True,2.0,35.0,,,,,,
2015,Owamagbe Odighizuwa,DE,UCLA,6-3,267.0,4.62,39.0,25.0,127.0,7.36,4.19,True,3.0,74.0,,,,,,
2015,Nate Orchard,DE,Utah,6-3,250.0,4.8,31.5,,115.0,7.28,4.43,True,2.0,51.0,,,,,,
2015,Shane Ray,DE,Missouri,6-3,245.0,4.68,,21.0,,,,True,1.0,23.0,,,,,,
2015,Cedric Reed,DE,Texas,6-5,269.0,4.89,,22.0,,,,False,,,,,,,,
2015,Ryan Russell,DE,Purdue,6-4,269.0,4.75,32.5,25.0,119.0,7.25,4.47,True,5.0,163.0,,,,,,
2015,Preston Smith,DE,Mississippi State,6-5,271.0,4.74,34.0,24.0,121.0,7.07,4.28,True,2.0,38.0,,,,,,
2015,Za'Darius Smith,DE,Kentucky,6-4,274.0,4.83,29.0,23.0,113.0,7.42,4.66,True,4.0,122.0,,,,,,
2015,Lynden Trail,DE,Norfolk State,6-7,269.0,4.91,32.5,24.0,117.0,7.32,4.48,False,,,,,,,,
2015,Zack Wagenmann,DE,Montana,6-3,247.0,4.81,37.5,14.0,109.0,7.07,4.26,False,,,,,,,,
2016,Mehdi Abdesmad,DE,Boston Col.,6-6,284.0,5.1,29.5,25.0,108.0,7.55,4.62,False,,,,,,,,
2016,Sterling Bailey,DE,Georgia,6-4,285.0,5.23,30.0,20.0,111.0,7.46,4.73,False,,,,,,,,
2016,Jimmy Bean,DE,Oklahoma State,6-5,264.0,4.87,,20.0,,,,False,,,,,,,,
2016,Ronald Blair,DE,Appalachian State,6-2,284.0,5.15,30.0,32.0,113.0,7.95,4.53,True,5.0,142.0,,,,,,
