Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season
2012,DeAngelo Tyson,DT,Georgia,6-2,315.0,5.0,,,,,,True,7.0,236.0,,,,,,
2012,Derek Wolfe,DT,Cincinnati,6-5,295.0,4.93,33.5,33.0,108.0,7.26,4.44,True,2.0,36.0,,,,,,
2012,Jerel Worthy,DT,Michigan State,6-2,308.0,5.0,28.5,,107.0,7.6,4.56,True,2.0,51.0,,,,,,
2013,T.J. Barnes,DT,Georgia Tech,6-6,369.0,5.3,22.0,25.0,97.0,8.26,4.96,False,,,,,,,,
2013,Josh Boyd,DT,Mississippi State,6-3,310.0,5.14,26.5,32.0,104.0,7.16,4.64,True,5.0,167.0,,,,,,
2013,Everett Dawkins,DT,Florida State,6-2,292.0,5.06,30.0,23.0,103.0,7.61,4.88,True,7.0,229.0,,,,,,
2013,Quinton Dial,DT,Alabama,6-5,318.0,5.29,,,,,,True,5.0,157.0,,,,,,
2013,Sharrif Floyd,DT,Florida,6-3,297.0,4.92,30.0,,106.0,7.4,4.75,True,1.0,23.0,,,,,,
2013,Kwame Geathers,DT,Georgia,6-5,342.0,5.44,26.5,,96.0,8.11,5.27,False,,,,,,,,
2013,Cory Grissom,DT,South Florida,6-1,306.0,5.31,27.5,22.0,97.0,7.79,4.81,False,,,,,,,,
2013,Johnathan Hankins,DT,Ohio State,6-3,320.0,5.31,26.0,,104.0,7.59,4.61,True,2.0,49.0,,,,,,
2013,Jordan Hill,DT,Penn State,6-1,303.0,5.23,22.5,28.0,103.0,7.49,4.51,True,3.0,87.0,,,,,,
2013,Montori Hughes,DT,Tennessee-Martin,6-4,329.0,5.23,26.5,22.0,104.0,7.85,4.7,True,5.0,139.0,,,,,,
2013,John Jenkins,DT,Georgia,6-4,346.0,5.21,,30.0,,,,True,3.0,82.0,,,,,,
2013,Abry Jones,DT,Georgia,6-3,313.0,5.06,26.5,30.0,101.0,,,False,,,,,,,,
2013,Chris Jones,DT,Bowling Green,6-2,302.0,5.33,,30.0,,7.34,4.44,True,6.0,198.0,,,,,,
2013,Kapron Lewis-Moore,DT,Notre Dame,6-4,298.0,4.95,,,,,,True,6.0,200.0,,,,,,
2013,Bennie Logan,DT,LSU,6-2,309.0,5.08,25.0,30.0,104.0,7.53,4.67,True,3.0,67.0,,,,,,
2013,Star Lotulelei,DT,Utah,6-2,311.0,5.14,,,,,,True,1.0,14.0,,,,,,
2013,Stacy McGee,DT,Oklahoma,6-3,308.0,4.98,,,,,,True,6.0,205.0,,,,,,
2013,Sheldon Richardson,DT,Missouri,6-2,294.0,5.02,32.0,30.0,116.0,,,True,1.0,13.0,,,,,,
2013,Kawann Short,DT,Purdue,6-3,299.0,5.08,,,,,,True,2.0,44.0,,,,,,
2013,Jared Smith,DT,New Hampshire,6-3,302.0,5.08,32.5,28.0,115.0,7.2,4.39,True,7.0,241.0,,,,,,
2013,Akeem Spence,DT,Illinois,6-1,307.0,5.15,30.0,37.0,107.0,7.82,4.72,True,4.0,100.0,,,,,,
2013,Brandon Williams,DT,Missouri Southern,6-1,335.0,5.37,29.5,38.0,102.0,8.09,4.91,True,3.0,94.0,,,,,,
2013,Jesse Williams,DT,Alabama,6-3,323.0,4.94,,30.0,,,,True,5.0,137.0,,,,,,
2013,Nicholas Williams,DT,Samford,6-4,309.0,4.94,33.0,28.0,111.0,7.55,4.65,True,7.0,223.0,,,,,,
