Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,attempts,yards,yards_after_contact,yco_attempt,ypa,touchdowns,total_touches,explosive,first_downs,fumbles,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,elusive_rating,elu_rush_mtf,mtf_per_attempt,explosive_rate,yprr,targets,routes,targets_per_route,fumble_rate
2018,Kyle Hicks,RB,TCU,,204.0,4.63,36.5,13.0,122.0,,,False,,,5.51,,139.0,638.0,360.0,2.59,4.6,4.0,169.0,14.0,28.0,1.0,24.0,9.0,32.1,205.0,46.0,24.0,0.17266187050359713,0.10071942446043165,1.55,33.0,188.0,0.17553191489361702,0.005917159763313609
2018,Nyheim Hines,RB,North Carolina State,,198.0,4.38,35.5,,119.0,7.18,4.35,True,4.0,104.0,5.68,,,,,,,,,,,,,,,,,,,,,,,,
2018,Justin Jackson,RB,Northwestern,,199.0,4.52,38.5,13.0,122.0,6.81,4.07,True,7.0,251.0,8.84,,286.0,1305.0,716.0,2.5,4.6,11.0,330.0,30.0,73.0,1.0,39.0,13.0,28.0,365.0,37.2,39.0,0.13636363636363635,0.1048951048951049,0.9,56.0,305.0,0.18360655737704917,0.0030303030303030303
2018,Kerryon Johnson,RB,Auburn,,213.0,,40.0,11.0,126.0,7.07,4.29,True,2.0,43.0,7.09,,285.0,1394.0,826.0,2.9,4.9,18.0,309.0,31.0,84.0,1.0,50.0,17.0,32.0,446.0,53.5,50.0,0.17543859649122806,0.10877192982456141,0.94,25.0,205.0,0.12195121951219512,0.003236245954692557
2018,Ronald Jones,RB,USC,,205.0,4.65,36.5,,,,,True,2.0,38.0,,,261.0,1550.0,914.0,3.5,5.9,19.0,275.0,41.0,82.0,0.0,58.0,25.0,46.4,719.0,75.1,58.0,0.2222222222222222,0.15708812260536398,0.87,15.0,214.0,0.07009345794392523,0.0
2018,John Kelly,RB,Tennessee,,216.0,,35.0,15.0,120.0,7.13,4.51,True,6.0,176.0,4.43,,189.0,778.0,609.0,3.22,4.1,9.0,226.0,21.0,38.0,1.0,38.0,13.0,38.0,296.0,74.1,38.0,0.20105820105820105,0.1111111111111111,1.53,45.0,195.0,0.23076923076923078,0.004424778761061947
2018,Sony Michel,RB,Georgia,,214.0,4.54,,22.0,,,4.21,True,1.0,31.0,8.95,,157.0,1259.0,632.0,4.03,8.0,16.0,165.0,34.0,53.0,2.0,36.0,23.0,56.2,707.0,95.1,36.0,0.22929936305732485,0.21656050955414013,0.53,16.0,120.0,0.13333333333333333,0.012121212121212121
2018,Ryan Nall,RB,Oregon State,,232.0,4.58,33.0,15.0,122.0,6.95,4.16,False,,,8.2,,166.0,806.0,520.0,3.13,4.9,8.0,192.0,19.0,45.0,3.0,22.0,10.0,33.9,273.0,45.7,22.0,0.13253012048192772,0.1144578313253012,1.75,34.0,142.0,0.23943661971830985,0.015625
2018,Rashaad Penny,RB,San Diego State,,220.0,4.46,32.5,13.0,120.0,,,True,1.0,27.0,7.26,,290.0,2254.0,1297.0,4.47,7.8,23.0,308.0,58.0,88.0,2.0,86.0,35.0,56.6,1276.0,129.7,86.0,0.296551724137931,0.2,0.96,25.0,135.0,0.18518518518518517,0.006493506493506494
2018,Kamryn Pettway,RB,Auburn,,233.0,4.74,33.5,22.0,116.0,,,False,,,5.42,,76.0,306.0,199.0,2.62,4.0,6.0,79.0,4.0,23.0,2.0,13.0,3.0,24.5,75.0,49.7,13.0,0.17105263157894737,0.05263157894736842,0.48,3.0,67.0,0.04477611940298507,0.02531645569620253
