Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush
2018,Rasheem Green,DE,USC,6-5,275.0,4.73,32.5,,118.0,7.24,4.39,True,3.0,79.0,9.09,14.2,9.4,460.0
2018,Dashawn Hand,DE,Alabama,6-4,297.0,4.83,31.5,28.0,111.0,7.98,4.62,False,,,,11.6,7.3,231.0
2018,Marquis Haynes,EDGE,Mississippi,6-3,235.0,4.67,32.0,23.0,123.0,7.14,4.45,True,4.0,136.0,7.22,11.0,8.2,279.0
2018,James Hearns,EDGE,Louisville,6-3,239.0,4.89,,22.0,,,,False,,,3.5,19.8,10.0,259.0
2018,Jeff Holland,EDGE,Auburn,6-2,249.0,4.79,,,116.0,,,False,,,3.54,19.4,14.5,348.0
2018,Jalyn Holmes,DE,Ohio State,6-5,283.0,4.82,32.0,25.0,,,,True,4.0,102.0,6.81,17.5,11.3,335.0
2018,Sam Hubbard,DE,Ohio State,6-5,270.0,,35.0,,116.0,6.84,4.32,True,3.0,77.0,7.4,19.1,12.3,306.0
2018,Darius Jackson,EDGE,Jacksonville State,6-3,242.0,4.87,26.5,21.0,113.0,7.52,,False,,,1.05,,,
2018,Leon Jacobs,EDGE,Wisconsin,6-3,246.0,4.48,34.5,26.0,122.0,7.14,4.44,True,7.0,230.0,8.76,19.0,14.9,245.0
2018,Peter Kalambayi,EDGE,Stanford,6-3,252.0,4.57,34.0,19.0,121.0,7.13,4.36,True,6.0,214.0,8.83,14.3,8.9,254.0
2018,Arden Key,EDGE,LSU,6-6,238.0,,31.0,,117.0,7.16,4.25,True,3.0,87.0,6.4,25.0,15.1,168.0
2018,Harold Landry,EDGE,Boston Col.,6-3,252.0,4.64,36.0,24.0,119.0,6.88,4.19,True,2.0,41.0,9.47,25.4,13.8,224.0
2018,Tyquan Lewis,EDGE,Ohio State,6-3,265.0,,35.5,,122.0,,,True,2.0,64.0,9.53,20.5,12.0,328.0
2018,James Looney,DE,California,6-3,287.0,4.89,35.5,28.0,113.0,7.32,4.37,True,7.0,232.0,,,,
2018,Hercules Mata'afa,EDGE,Washington State,6-1,254.0,4.76,31.5,26.0,108.0,7.24,4.37,False,,,,14.3,10.0,308.0
2018,Uchenna Nwosu,EDGE,USC,6-3,251.0,4.65,32.0,20.0,119.0,,,True,2.0,48.0,,19.3,12.0,449.0
2018,Ogbonnia Okoronkwo,EDGE,Oklahoma,6-1,253.0,4.77,38.0,27.0,121.0,,,True,5.0,160.0,8.72,,,
2018,Javon Rolland-Jones,EDGE,Arkansas State,6-2,253.0,4.88,,23.0,,,,False,,,1.72,,,
2018,Olubunmi Rotimi,DE,Old Dominion,6-4,273.0,,32.0,21.0,113.0,7.46,4.7,False,,,,,,
2018,Kentavius Street,DE,North Carolina State,6-2,280.0,4.87,,28.0,,,,True,4.0,128.0,7.72,13.3,7.1,309.0
2018,Josh Sweat,EDGE,Florida State,6-4,251.0,4.53,39.5,,124.0,,4.28,True,4.0,130.0,9.7,10.9,9.4,375.0
2018,Chad Thomas,DE,Miami (FL),6-6,281.0,4.92,29.0,,116.0,,,True,3.0,67.0,4.55,19.4,14.8,335.0
2018,Jojo Wicker,DE,Arizona State,6-3,296.0,5.16,30.0,25.0,105.0,,,False,,,0.94,7.4,5.6,525.0
2018,Anthony Winbush,EDGE,Ball State,6-1,249.0,,,25.0,110.0,,,False,,,6.21,,,
2018,Trevon Young,EDGE,Louisville,6-4,258.0,4.78,33.0,25.0,114.0,6.99,4.4,True,6.0,205.0,8.78,19.3,10.3,356.0
2019,Josh Allen,EDGE,Kentucky,6-5,262.0,4.63,,28.0,118.0,7.15,4.23,True,1.0,7.0,,,,
2019,Ben Banogu,EDGE,TCU,6-3,250.0,4.62,40.0,23.0,134.0,7.02,4.27,True,2.0,49.0,9.7,19.5,12.2,449.0
2019,Jordan Brailford,EDGE,Oklahoma State,6-3,252.0,4.65,37.5,22.0,126.0,,,True,7.0,253.0,8.5,17.5,11.6,363.0
2019,Austin Bryant,EDGE,Clemson,6-4,271.0,,,,,,,True,4.0,117.0,,6.9,8.0,332.0
2019,Brian Burns,EDGE,Florida State,6-5,249.0,4.53,36.0,,129.0,7.01,,True,1.0,16.0,9.9,19.7,17.5,424.0
2019,Malik Carney,EDGE,North Carolina,6-2,251.0,4.73,33.0,25.0,113.0,7.4,,False,,,4.99,,,
2019,Jamal Davis,EDGE,Akron,6-3,243.0,4.6,39.0,19.0,122.0,7.0,4.44,False,,,,11.1,9.0,414.0
2019,Clelin Ferrell,EDGE,Clemson,6-4,264.0,,,25.0,,7.26,4.4,True,1.0,4.0,,21.8,16.3,334.0
2019,Carl Granderson,EDGE,Wyoming,6-5,254.0,4.79,35.0,,119.0,7.44,4.41,False,,,7.68,13.6,12.1,311.0
2019,Gerri Green,EDGE,Mississippi State,6-4,252.0,4.63,35.0,24.0,114.0,7.27,4.42,True,6.0,199.0,,17.2,6.8,230.0
2019,Porter Gustin,EDGE,USC,6-4,255.0,4.69,35.5,31.0,119.0,,,False,,,,17.8,11.4,182.0
2019,Justin Hollins,EDGE,Oregon,6-5,248.0,4.5,36.5,25.0,119.0,7.06,4.4,True,5.0,156.0,,21.2,14.4,342.0
2019,Cece Jefferson,EDGE,Florida,6-1,266.0,5.02,30.5,17.0,108.0,7.5,4.53,False,,,1.15,14.6,11.2,212.0
2019,Jalen Jelks,EDGE,Oregon,6-5,256.0,4.92,32.5,19.0,113.0,7.22,4.59,True,7.0,241.0,4.82,11.6,9.3,378.0
2019,Darryl Johnson,EDGE,North Carolina A&T,6-6,253.0,,,20.0,,,,True,7.0,225.0,6.74,,,
2019,Christian Miller,EDGE,Alabama,6-3,247.0,,38.5,,118.0,,,True,4.0,115.0,,22.8,17.7,214.0
2019,Shareef Miller,EDGE,Penn State,6-4,254.0,4.69,29.5,16.0,,,4.45,True,4.0,138.0,6.15,16.9,12.7,349.0
2019,Jachai Polite,EDGE,Florida,6-3,258.0,4.84,32.0,,,,,True,3.0,68.0,1.73,19.8,14.4,272.0
